ame	ncbi	ko	pathway	pathname
100576167	XP_016769530	K08471		
100576169	XP_003251700	K19599	map04630	JAK-STAT signaling pathway
100576170	XP_003251865			
100576172	XP_016768115			
100576174	XP_003249688			
100576176	XP_016770410	K03131	map03022	Basal transcription factors
100576179	XP_026297187			
100576182	XP_003249871			
100576184	XP_003250709			
100576185	XP_026299720	K16725		
100576186	XP_006566668	K00827	map00250	Alanine, aspartate and glutamate metabolism
100576186	XP_006566668	K00827	map00260	Glycine, serine and threonine metabolism
100576186	XP_006566668	K00827	map00270	Cysteine and methionine metabolism
100576186	XP_006566668	K00827	map00280	Valine, leucine and isoleucine degradation
100576186	XP_006566668	K00827	map01100	
100576186	XP_006566668	K00827	map01110	Biosynthesis of secondary metabolites
100576186	XP_006566668	K00827	map01210	2-Oxocarboxylic acid metabolism
100576187	XP_026298571	K10636	map04137	Mitophagy - animal
100576187	XP_026298571	K10636	map04141	Protein processing in endoplasmic reticulum
100576192	XP_003249953			
100576193	XP_003250171			
100576194	XP_003250310	K09402		
100576195	XP_003250551	K27339		
100576196	XP_006565642			
100576198	XP_003251162			
100576212	XP_003249267	K22984		
100576215	XP_003250493	K09073		
100576216	XP_016767897			
100576217	XP_026299157			
100576220	XP_003249297	K09362		
100576221	XP_026301142			
100576222	XP_003250109	K18486		
100576223	XP_026299180			
100576224	XP_006563697	K01672	map00910	Nitrogen metabolism
100576224	XP_006563697	K01672	map01100	
100576225	XP_016770562			
100576226	XP_006565007			
100576227	XP_003250613			
100576231	XP_026302063			
100576233	XP_026297166			
100576236	XP_003250191			
100576242	XP_026295559	K25461		
100576246	XP_003249268	K22984		
100576247	XP_006559288	K02375	map04150	mTOR signaling pathway
100576247	XP_006559288	K02375	map04310	Wnt signaling pathway
100576247	XP_006559288	K02375	map04390	Hippo signaling pathway
100576247	XP_006559288	K02375	map04550	Signaling pathways regulating pluripotency of stem cells
100576247	XP_006559288	K02375	map04916	Melanogenesis
100576247	XP_006559288	K02375	map04934	Cushing syndrome
100576247	XP_006559288	K02375	map05010	Alzheimer disease
100576247	XP_006559288	K02375	map05022	Pathways of neurodegeneration - multiple diseases
100576247	XP_006559288	K02375	map05165	Human papillomavirus infection
100576247	XP_006559288	K02375	map05200	Pathways in cancer
100576247	XP_006559288	K02375	map05205	Proteoglycans in cancer
100576247	XP_006559288	K02375	map05217	Basal cell carcinoma
100576247	XP_006559288	K02375	map05224	Breast cancer
100576247	XP_006559288	K02375	map05225	Hepatocellular carcinoma
100576247	XP_006559288	K02375	map05226	Gastric cancer
100576248	XP_026300423			
100576249	XP_016766410	K13701		
100576251	XP_006565834			
100576253	XP_003251207			
100576258	XP_003251741			
100576260	XP_006557735			
100576261	XP_016769520	K09228	map05168	Herpes simplex virus 1 infection
100576262	XP_006560760			
100576263	XP_026297483			
100576265	XP_026300706			
100576266	XP_003250614	K13196	map03082	ATP-dependent chromatin remodeling
100576270	XP_003251902	K09022		
100576271	XP_006561695			
100576272	XP_003249995	K15323		
100576273	XP_003250259			
100576274	XP_003250445			
100576279	XP_003251544			
100576282	XP_006558389	K22984		
100576284	XP_003250738			
100576286	XP_026299728	K03037	map03050	Proteasome
100576286	XP_026299728	K03037	map05010	Alzheimer disease
100576286	XP_026299728	K03037	map05012	Parkinson disease
100576286	XP_026299728	K03037	map05014	Amyotrophic lateral sclerosis
100576286	XP_026299728	K03037	map05016	Huntington disease
100576286	XP_026299728	K03037	map05017	Spinocerebellar ataxia
100576286	XP_026299728	K03037	map05020	Prion disease
100576286	XP_026299728	K03037	map05022	Pathways of neurodegeneration - multiple diseases
100576286	XP_026299728	K03037	map05169	Epstein-Barr virus infection
100576288	XP_006568171			
100576289	XP_003249427	K15324		
100576290	XP_006561020	K24723	map04814	Motor proteins
100576291	XP_016767973			
100576293	XP_003250662	K09219		
100576296	XP_003251824	K01262		
100576298	XP_006557365			
100576300	XP_016769141			
100576304	XP_026297186			
100576307	XP_003251568	K09210		
100576320	XP_006561220			
100576321	XP_026295288			
100576326	XP_016769182			
100576330	XP_006563622			
100576333	XP_003251353	K17609		
100576336	XP_026297357			
100576337	XP_026296912	K25757		
100576341	NP_001257755			
100576346	XP_006569999			
100576348	XP_006572020			
100576349	XP_003251882	K06232	map04340	Hedgehog signaling pathway
100576355	XP_003251033			
100576359	XP_016767931	K13148		
100576361	XP_016767529			
100576366	XP_003251354	K15322		
100576369	XP_003249075	K03211	map04013	MAPK signaling pathway - fly
100576369	XP_003249075	K03211	map04320	Dorso-ventral axis formation
100576369	XP_003249075	K03211	map05202	Transcriptional misregulation in cancer
100576370	XP_026299536			
100576373	XP_016771115	K22188		
100576374	XP_026301029	K26125		
100576378	XP_026296549	K03539	map03008	Ribosome biogenesis in eukaryotes
100576381	XP_016769134			
100576382	XP_026298355			
100576383	XP_016767264	K01230	map00510	N-Glycan biosynthesis
100576383	XP_016767264	K01230	map00513	Various types of N-glycan biosynthesis
100576383	XP_016767264	K01230	map01100	
100576383	XP_016767264	K01230	map04141	Protein processing in endoplasmic reticulum
100576384	XP_026301671	K05694	map04520	Adherens junction
100576387	XP_026299068			
100576392	XP_003250447	K04377	map04010	MAPK signaling pathway
100576392	XP_003250447	K04377	map04012	ErbB signaling pathway
100576392	XP_003250447	K04377	map04110	Cell cycle
100576392	XP_003250447	K04377	map04151	PI3K-Akt signaling pathway
100576392	XP_003250447	K04377	map04218	Cellular senescence
100576392	XP_003250447	K04377	map04310	Wnt signaling pathway
100576392	XP_003250447	K04377	map04350	TGF-beta signaling pathway
100576392	XP_003250447	K04377	map04390	Hippo signaling pathway
100576392	XP_003250447	K04377	map04391	Hippo signaling pathway - fly
100576392	XP_003250447	K04377	map04550	Signaling pathways regulating pluripotency of stem cells
100576392	XP_003250447	K04377	map04630	JAK-STAT signaling pathway
100576392	XP_003250447	K04377	map04919	Thyroid hormone signaling pathway
100576392	XP_003250447	K04377	map05132	Salmonella infection
100576392	XP_003250447	K04377	map05160	Hepatitis C
100576392	XP_003250447	K04377	map05161	Hepatitis B
100576392	XP_003250447	K04377	map05163	Human cytomegalovirus infection
100576392	XP_003250447	K04377	map05166	Human T-cell leukemia virus 1 infection
100576392	XP_003250447	K04377	map05167	Kaposi sarcoma-associated herpesvirus infection
100576392	XP_003250447	K04377	map05169	Epstein-Barr virus infection
100576392	XP_003250447	K04377	map05200	Pathways in cancer
100576392	XP_003250447	K04377	map05202	Transcriptional misregulation in cancer
100576392	XP_003250447	K04377	map05205	Proteoglycans in cancer
100576392	XP_003250447	K04377	map05206	MicroRNAs in cancer
100576392	XP_003250447	K04377	map05207	Chemical carcinogenesis - receptor activation
100576392	XP_003250447	K04377	map05210	Colorectal cancer
100576392	XP_003250447	K04377	map05213	Endometrial cancer
100576392	XP_003250447	K04377	map05216	Thyroid cancer
100576392	XP_003250447	K04377	map05219	Bladder cancer
100576392	XP_003250447	K04377	map05220	Chronic myeloid leukemia
100576392	XP_003250447	K04377	map05221	Acute myeloid leukemia
100576392	XP_003250447	K04377	map05222	Small cell lung cancer
100576392	XP_003250447	K04377	map05224	Breast cancer
100576392	XP_003250447	K04377	map05225	Hepatocellular carcinoma
100576392	XP_003250447	K04377	map05226	Gastric cancer
100576392	XP_003250447	K04377	map05230	Central carbon metabolism in cancer
100576395	NP_001229399			
100576400	XP_003250111			
100576401	XP_006564751			
100576402	XP_006565864	K06640	map03460	Fanconi anemia pathway
100576402	XP_006565864	K06640	map04110	Cell cycle
100576402	XP_006565864	K06640	map04115	p53 signaling pathway
100576402	XP_006565864	K06640	map04214	Apoptosis - fly
100576402	XP_006565864	K06640	map04218	Cellular senescence
100576402	XP_006565864	K06640	map05165	Human papillomavirus infection
100576402	XP_006565864	K06640	map05166	Human T-cell leukemia virus 1 infection
100576402	XP_006565864	K06640	map05170	Human immunodeficiency virus 1 infection
100576404	XP_006570014	K25168		
100576405	XP_003249244	K25857		
100576410	XP_016772443			
100576411	XP_003250261			
100576412	XP_003250992	K10667		
100576413	XP_026296841			
100576414	NP_001314876	K13356	map00073	Cutin, suberine and wax biosynthesis
100576414	NP_001314876	K13356	map01110	Biosynthesis of secondary metabolites
100576414	NP_001314876	K13356	map04146	Peroxisome
100576414	NP_001314876	K13356	map04212	Longevity regulating pathway - worm
100576418	XP_006561108			
100576421	XP_006566789			
100576422	XP_006566942	K17790		
100576425	XP_006571760			
100576428	XP_006558364			
100576432	XP_003250286			
100576433	XP_003250740			
100576434	XP_003251461	K09083		
100576435	XP_006570884			
100576436	XP_026298450	K18409		
100576438	XP_026299119			
100576439	XP_026298731			
100576444	XP_003250085			
100576446	XP_006570176	K14453		
100576447	NP_001265267	K21956		
100576449	XP_006557966	K06225	map04024	cAMP signaling pathway
100576449	XP_006557966	K06225	map04340	Hedgehog signaling pathway
100576449	XP_006557966	K06225	map04341	Hedgehog signaling pathway - fly
100576449	XP_006557966	K06225	map04360	Axon guidance
100576449	XP_006557966	K06225	map05200	Pathways in cancer
100576449	XP_006557966	K06225	map05205	Proteoglycans in cancer
100576449	XP_006557966	K06225	map05217	Basal cell carcinoma
100576453	XP_006569404	K20368		
100576454	XP_003251721			
100576457	XP_003249153	K02896	map03010	Ribosome
100576457	XP_003249153	K02896	map05171	Coronavirus disease - COVID-19
100576458	XP_006558393	K08716		
100576460	XP_003250394	K27179		
100576461	XP_026301018			
100576462	XP_003250826	K22984		
100576467	XP_003249300	K01112		
100576471	XP_003249875			
100576472	XP_016770097	K05633	map04120	Ubiquitin mediated proteolysis
100576472	XP_016770097	K05633	map04144	Endocytosis
100576473	XP_003251486			
100576476	XP_026296203			
100576480	NP_001229922			
100576482	XP_006565410	K11502		
100576484	XP_003250976	K04397	map04148	Efferocytosis
100576484	XP_003250976	K04397	map04210	Apoptosis
100576484	XP_003250976	K04397	map04214	Apoptosis - fly
100576484	XP_003250976	K04397	map04215	Apoptosis - multiple species
100576484	XP_003250976	K04397	map04623	Cytosolic DNA-sensing pathway
100576484	XP_003250976	K04397	map04668	TNF signaling pathway
100576484	XP_003250976	K04397	map04932	Non-alcoholic fatty liver disease
100576484	XP_003250976	K04397	map05010	Alzheimer disease
100576484	XP_003250976	K04397	map05022	Pathways of neurodegeneration - multiple diseases
100576484	XP_003250976	K04397	map05130	Pathogenic Escherichia coli infection
100576484	XP_003250976	K04397	map05132	Salmonella infection
100576484	XP_003250976	K04397	map05133	Pertussis
100576484	XP_003250976	K04397	map05134	Legionellosis
100576484	XP_003250976	K04397	map05200	Pathways in cancer
100576484	XP_003250976	K04397	map05417	Lipid and atherosclerosis
100576487	XP_003249154	K22744	map04115	p53 signaling pathway
100576488	XP_016770842			
100576492	XP_016768733			
100576497	XP_003251223			
100576498	XP_026295994			
100576502	XP_026295293			
100576504	XP_006567501			
100576505	XP_016773333			
100576506	XP_026295324	K15203		
100576508	XP_016771214			
100576512	XP_003249808			
100576514	XP_016767522	K27756		
100576515	XP_003250349			
100576519	XP_003250893			
100576522	XP_026296493	K22984		
100576527	XP_003249317	K04450	map04010	MAPK signaling pathway
100576527	XP_003249317	K04450	map04013	MAPK signaling pathway - fly
100576527	XP_003249317	K04450	map04022	cGMP-PKG signaling pathway
100576527	XP_003249317	K04450	map04151	PI3K-Akt signaling pathway
100576527	XP_003249317	K04450	map04211	Longevity regulating pathway
100576527	XP_003249317	K04450	map04261	Adrenergic signaling in cardiomyocytes
100576527	XP_003249317	K04450	map04624	Toll and Imd signaling pathway
100576527	XP_003249317	K04450	map04668	TNF signaling pathway
100576527	XP_003249317	K04450	map04714	Thermogenesis
100576527	XP_003249317	K04450	map04728	Dopaminergic synapse
100576527	XP_003249317	K04450	map04911	Insulin secretion
100576527	XP_003249317	K04450	map04915	Estrogen signaling pathway
100576527	XP_003249317	K04450	map04918	Thyroid hormone synthesis
100576527	XP_003249317	K04450	map04922	Glucagon signaling pathway
100576527	XP_003249317	K04450	map04925	Aldosterone synthesis and secretion
100576527	XP_003249317	K04450	map04926	Relaxin signaling pathway
100576527	XP_003249317	K04450	map04927	Cortisol synthesis and secretion
100576527	XP_003249317	K04450	map04928	Parathyroid hormone synthesis, secretion and action
100576527	XP_003249317	K04450	map04934	Cushing syndrome
100576527	XP_003249317	K04450	map04935	Growth hormone synthesis, secretion and action
100576527	XP_003249317	K04450	map05020	Prion disease
100576527	XP_003249317	K04450	map05030	Cocaine addiction
100576527	XP_003249317	K04450	map05031	Amphetamine addiction
100576527	XP_003249317	K04450	map05034	Alcoholism
100576527	XP_003249317	K04450	map05161	Hepatitis B
100576527	XP_003249317	K04450	map05163	Human cytomegalovirus infection
100576527	XP_003249317	K04450	map05166	Human T-cell leukemia virus 1 infection
100576527	XP_003249317	K04450	map05203	Viral carcinogenesis
100576527	XP_003249317	K04450	map05207	Chemical carcinogenesis - receptor activation
100576528	XP_026297775			
100576529	XP_003250263			
100576530	XP_006565703			
100576531	XP_026299116			
100576532	XP_006566544			
100576534	XP_026298613			
100576540	XP_006559915			
100576542	XP_003249646			
100576543	XP_003249830			
100576544	XP_003249852	K18162	map04714	Thermogenesis
100576547	XP_003250229	K00115	map00030	Pentose phosphate pathway
100576547	XP_003250229	K00115	map01100	
100576547	XP_003250229	K00115	map01110	Biosynthesis of secondary metabolites
100576552	XP_003249116			
100576554	XP_003249479	K24227		
100576555	XP_003249671	K08371		
100576557	XP_026299382			
100576559	XP_003251400			
100576563	XP_003249156	K23696		
100576565	XP_006560498			
100576568	XP_003250114			
100576569	XP_003250264			
100576571	XP_026294856	K21752		
100576572	XP_026299008	K07178	map03008	Ribosome biogenesis in eukaryotes
100576584	XP_026296532			
100576586	XP_026301974	K23195		
100576590	XP_026301501			
100576591	XP_026300788			
100576592	XP_026301323			
100576597	XP_026296836			
100576600	XP_003251401	K09228	map05168	Herpes simplex virus 1 infection
100576603	XP_006559838			
100576606	XP_026297494			
100576608	XP_003250715			
100576610	XP_003251071	K17655		
100576612	XP_026301334			
100576614	XP_026301316			
100576615	XP_003249647			
100576617	XP_003250395			
100576619	XP_003250601			
100576620	XP_026295328	K12850	map03040	Spliceosome
100576621	XP_003251572			
100576623	XP_006572180			
100576625	XP_026301145	K18415		
100576637	XP_026297220	K01312	map04080	Neuroactive ligand-receptor interaction
100576637	XP_026297220	K01312	map04972	Pancreatic secretion
100576637	XP_026297220	K01312	map04974	Protein digestion and absorption
100576637	XP_026297220	K01312	map05164	Influenza A
100576638	XP_026295320			
100576640	XP_006561662	K10605	map01524	Platinum drug resistance
100576640	XP_006561662	K10605	map03440	Homologous recombination
100576640	XP_006561662	K10605	map03460	Fanconi anemia pathway
100576640	XP_006561662	K10605	map04120	Ubiquitin mediated proteolysis
100576640	XP_006561662	K10605	map04151	PI3K-Akt signaling pathway
100576640	XP_006561662	K10605	map05206	MicroRNAs in cancer
100576640	XP_006561662	K10605	map05224	Breast cancer
100576645	XP_006564568			
100576646	XP_026299440	K00627	map00010	Glycolysis / Gluconeogenesis
100576646	XP_026299440	K00627	map00020	Citrate cycle (TCA cycle)
100576646	XP_026299440	K00627	map00620	Pyruvate metabolism
100576646	XP_026299440	K00627	map00785	Lipoic acid metabolism
100576646	XP_026299440	K00627	map01100	
100576646	XP_026299440	K00627	map01110	Biosynthesis of secondary metabolites
100576646	XP_026299440	K00627	map01120	Microbial metabolism in diverse environments
100576646	XP_026299440	K00627	map01200	Carbon metabolism
100576646	XP_026299440	K00627	map01210	2-Oxocarboxylic acid metabolism
100576647	XP_026299546			
100576649	XP_026302188	K10858	map03430	Mismatch repair
100576649	XP_026302188	K10858	map03460	Fanconi anemia pathway
100576660	XP_003251546	K00953	map00740	Riboflavin metabolism
100576660	XP_003251546	K00953	map01100	
100576660	XP_003251546	K00953	map01110	Biosynthesis of secondary metabolites
100576660	XP_003251546	K00953	map01240	Biosynthesis of cofactors
100576662	XP_003251744			
100576666	XP_006565429	K26153		
100576667	XP_006567935	K10601	map04120	Ubiquitin mediated proteolysis
100576667	XP_006567935	K10601	map04141	Protein processing in endoplasmic reticulum
100576669	XP_006570983	K18410		
100576671	XP_006558575	K11459	map03083	Polycomb repressive complex
100576671	XP_006558575	K11459	map04550	Signaling pathways regulating pluripotency of stem cells
100576671	XP_006558575	K11459	map05202	Transcriptional misregulation in cancer
100576671	XP_006558575	K11459	map05206	MicroRNAs in cancer
100576677	XP_026295466	K10871	map03440	Homologous recombination
100576679	XP_016769679			
100576681	NP_001229910	K22984		
100576683	XP_026296763			
100576687	XP_026297507			
100576688	XP_026300914			
100576690	XP_006562355			
100576700	XP_006558615	K08040	map04950	Maturity onset diabetes of the young
100576702	XP_003249924			
100576703	XP_026297145			
100576705	XP_026300237			
100576706	XP_003251298	K05864	map04217	Necroptosis
100576706	XP_003251298	K05864	map04218	Cellular senescence
100576706	XP_003251298	K05864	map05010	Alzheimer disease
100576706	XP_003251298	K05864	map05022	Pathways of neurodegeneration - multiple diseases
100576706	XP_003251298	K05864	map05131	Shigellosis
100576708	XP_026298720	K15700		
100576709	XP_006557820	K21763		
100576714	XP_026294764	K22984		
100576717	XP_003250928	K20915	map04621	NOD-like receptor signaling pathway
100576718	XP_003251443			
100576722	XP_016771413			
100576730	XP_003251489			
100576733	XP_026295013	K10572	map00562	Inositol phosphate metabolism
100576733	XP_026295013	K10572	map01100	
100576733	XP_026295013	K10572	map04070	Phosphatidylinositol signaling system
100576734	XP_026300764	K22984		
100576735	XP_006558776	K13353	map04146	Peroxisome
100576736	XP_003249482			
100576737	XP_003249546			
100576738	XP_003249603			
100576740	XP_026301408			
100576741	XP_026297508			
100576742	XP_003250860			
100576744	XP_003250895			
100576745	XP_003250993			
100576746	XP_003251243			
100576747	XP_026302004	K18405		
100576748	XP_006571876			
100576749	NP_001229904	K22984		
100576754	XP_006558267	K11492		
100576758	XP_006564116			
100576759	XP_006564844			
100576760	XP_003251427			
100576761	XP_006570533	K26098		
100576765	XP_026295876			
100576767	XP_003249650			
100576768	XP_003249693			
100576770	XP_003250615			
100576773	XP_016770623	K15734	map00830	Retinol metabolism
100576773	XP_016770623	K15734	map01100	
100576773	XP_016770623	K15734	map01240	Biosynthesis of cofactors
100576774	XP_016770872			
100576775	XP_006571844	K17583		
100576779	XP_026301689			
100576781	XP_006560175			
100576783	XP_006565964	K22984		
100576784	XP_003251225	K11680	map03082	ATP-dependent chromatin remodeling
100576789	XP_003249351	K19613	map04014	Ras signaling pathway
100576794	XP_003251125	K12849	map03040	Spliceosome
100576795	XP_003251210			
100576796	XP_003251276			
100576797	XP_026296169	K00507	map01040	Biosynthesis of unsaturated fatty acids
100576797	XP_026296169	K00507	map01100	
100576797	XP_026296169	K00507	map01212	Fatty acid metabolism
100576797	XP_026296169	K00507	map03320	PPAR signaling pathway
100576797	XP_026296169	K00507	map04152	AMPK signaling pathway
100576797	XP_026296169	K00507	map04212	Longevity regulating pathway - worm
100576797	XP_026296169	K00507	map04936	Alcoholic liver disease
100576799	XP_026301456			
100576801	XP_003249413	K00025	map00020	Citrate cycle (TCA cycle)
100576801	XP_003249413	K00025	map00270	Cysteine and methionine metabolism
100576801	XP_003249413	K00025	map00620	Pyruvate metabolism
100576801	XP_003249413	K00025	map00630	Glyoxylate and dicarboxylate metabolism
100576801	XP_003249413	K00025	map00710	Carbon fixation by Calvin cycle
100576801	XP_003249413	K00025	map01100	
100576801	XP_003249413	K00025	map01110	Biosynthesis of secondary metabolites
100576801	XP_003249413	K00025	map01120	Microbial metabolism in diverse environments
100576801	XP_003249413	K00025	map01200	Carbon metabolism
100576801	XP_003249413	K00025	map04964	Proximal tubule bicarbonate reclamation
100576803	XP_026300818			
100576805	XP_003250539			
100576812	XP_003249221			
100576814	XP_003250216			
100576816	XP_006565962	K22984		
100576817	XP_003251146	K09228	map05168	Herpes simplex virus 1 infection
100576818	XP_026302224	K00729	map00510	N-Glycan biosynthesis
100576818	XP_026302224	K00729	map01100	
100576819	XP_026300395	K20009	map04214	Apoptosis - fly
100576819	XP_026300395	K20009	map04215	Apoptosis - multiple species
100576820	XP_026301834			
100576826	XP_006567941	K23893		
100576828	XP_006572034	K18411		
100576829	XP_003251885			
100576831	XP_016769263	K24205		
100576836	XP_026296905			
100576838	XP_006570994	K01312	map04080	Neuroactive ligand-receptor interaction
100576838	XP_006570994	K01312	map04972	Pancreatic secretion
100576838	XP_006570994	K01312	map04974	Protein digestion and absorption
100576838	XP_006570994	K01312	map05164	Influenza A
100576839	XP_003249278	K22984		
100576840	XP_006559331			
100576843	XP_003250399	K16753		
100576847	XP_006568940	K02267	map00190	Oxidative phosphorylation
100576847	XP_006568940	K02267	map01100	
100576847	XP_006568940	K02267	map04260	Cardiac muscle contraction
100576847	XP_006568940	K02267	map04714	Thermogenesis
100576847	XP_006568940	K02267	map04932	Non-alcoholic fatty liver disease
100576847	XP_006568940	K02267	map05010	Alzheimer disease
100576847	XP_006568940	K02267	map05012	Parkinson disease
100576847	XP_006568940	K02267	map05014	Amyotrophic lateral sclerosis
100576847	XP_006568940	K02267	map05016	Huntington disease
100576847	XP_006568940	K02267	map05020	Prion disease
100576847	XP_006568940	K02267	map05022	Pathways of neurodegeneration - multiple diseases
100576847	XP_006568940	K02267	map05208	Chemical carcinogenesis - reactive oxygen species
100576847	XP_006568940	K02267	map05415	Diabetic cardiomyopathy
100576848	XP_026296419	K16912		
100576850	XP_003249097	K11108	map03008	Ribosome biogenesis in eukaryotes
100576851	XP_026300353	K16548		
100576855	XP_026301363			
100576859	XP_006567940	K25395		
100576862	XP_026294735	K18709		
100576863	XP_003249525			
100576864	XP_003249585			
100576866	XP_003249694	K07739		
100576871	XP_006568656	K16453		
100576872	XP_003251445	K10994	map04218	Cellular senescence
100576876	XP_006561668			
100576878	XP_006562666			
100576879	XP_016771452	K20404	map04150	mTOR signaling pathway
100576881	XP_026294957	K22984		
