ame	ncbi	ko	amepathway	amepathname
100576326	XP_016769182			
100576330	XP_006563622			
100576333	XP_003251353	K17609		
100576336	XP_026297357			
100576337	XP_026296912	K25757		
100576341	NP_001257755			
100576346	XP_006569999			
100576348	XP_006572020			
100576349	XP_003251882	K06232		
100576355	XP_003251033			
100576359	XP_016767931	K13148		
100576361	XP_016767529			
100576366	XP_003251354	K15322		
100576369	XP_003249075	K03211	ame04013	MAPK signaling pathway - fly - Apis mellifera (honey bee)
100576369	XP_003249075	K03211	ame04320	Dorso-ventral axis formation - Apis mellifera (honey bee)
100576370	XP_026299536			
100576373	XP_016771115	K22188		
100576374	XP_026301029	K26125		
100576378	XP_026296549	K03539	ame03008	Ribosome biogenesis in eukaryotes - Apis mellifera (honey bee)
100576381	XP_016769134			
100576382	XP_026298355			
100576383	XP_016767264	K01230	ame00510	N-Glycan biosynthesis - Apis mellifera (honey bee)
100576383	XP_016767264	K01230	ame00513	Various types of N-glycan biosynthesis - Apis mellifera (honey bee)
100576383	XP_016767264	K01230	ame01100	
100576383	XP_016767264	K01230	ame04141	Protein processing in endoplasmic reticulum - Apis mellifera (honey bee)
100576384	XP_026301671	K05694		
100576387	XP_026299068			
100576392	XP_003250447	K04377	ame04310	Wnt signaling pathway - Apis mellifera (honey bee)
100576392	XP_003250447	K04377	ame04350	TGF-beta signaling pathway - Apis mellifera (honey bee)
100576392	XP_003250447	K04377	ame04391	Hippo signaling pathway - fly - Apis mellifera (honey bee)
100576395	NP_001229399			
100576400	XP_003250111			
100576401	XP_006564751			
100576402	XP_006565864	K06640	ame03460	Fanconi anemia pathway - Apis mellifera (honey bee)
100576402	XP_006565864	K06640	ame04214	Apoptosis - fly - Apis mellifera (honey bee)
100576404	XP_006570014	K25168		
100576405	XP_003249244	K25857		
100576410	XP_016772443			
100576411	XP_003250261			
100576412	XP_003250992	K10667		
100576413	XP_026296841			
100576414	NP_001314876	K13356	ame04146	Peroxisome - Apis mellifera (honey bee)
100576418	XP_006561108			
100576421	XP_006566789			
100576422	XP_006566942	K17790		
100576425	XP_006571760			
100576428	XP_006558364			
100576432	XP_003250286			
100576433	XP_003250740			
100576434	XP_003251461	K09083		
100576435	XP_006570884			
100576436	XP_026298450	K18409		
100576438	XP_026299119			
100576439	XP_026298731			
100576444	XP_003250085			
100576446	XP_006570176	K14453		
100576447	NP_001265267	K21956		
100576449	XP_006557966	K06225	ame04341	Hedgehog signaling pathway - fly - Apis mellifera (honey bee)
100576453	XP_006569404	K20368		
100576454	XP_003251721			
100576457	XP_003249153	K02896	ame03010	Ribosome - Apis mellifera (honey bee)
100576458	XP_006558393	K08716		
100576460	XP_003250394	K27179		
100576461	XP_026301018			
100576462	XP_003250826	K22984		
100576467	XP_003249300	K01112		
100576471	XP_003249875			
100576472	XP_016770097	K05633	ame04120	Ubiquitin mediated proteolysis - Apis mellifera (honey bee)
100576472	XP_016770097	K05633	ame04144	Endocytosis - Apis mellifera (honey bee)
100576473	XP_003251486			
100576476	XP_026296203			
100576480	NP_001229922			
100576482	XP_006565410	K11502		
100576484	XP_003250976	K04397	ame04148	Efferocytosis - Apis mellifera (honey bee)
100576484	XP_003250976	K04397	ame04214	Apoptosis - fly - Apis mellifera (honey bee)
100576484	XP_003250976	K04397	ame04215	Apoptosis - multiple species - Apis mellifera (honey bee)
100576487	XP_003249154	K22744		
100576488	XP_016770842			
100576492	XP_016768733			
100576497	XP_003251223			
100576498	XP_026295994			
100576502	XP_026295293			
100576504	XP_006567501			
100576505	XP_016773333			
100576506	XP_026295324	K15203		
100576508	XP_016771214			
100576512	XP_003249808			
100576514	XP_016767522	K27756		
100576515	XP_003250349			
100576519	XP_003250893			
100576522	XP_026296493	K22984		
100576527	XP_003249317	K04450	ame04013	MAPK signaling pathway - fly - Apis mellifera (honey bee)
100576527	XP_003249317	K04450	ame04624	Toll and Imd signaling pathway - Apis mellifera (honey bee)
100576528	XP_026297775			
100576529	XP_003250263			
100576530	XP_006565703			
100576531	XP_026299116			
100576532	XP_006566544			
100576534	XP_026298613			
100576540	XP_006559915			
100576542	XP_003249646			
100576543	XP_003249830			
100576544	XP_003249852	K18162		
100576547	XP_003250229	K00115	ame00030	Pentose phosphate pathway - Apis mellifera (honey bee)
100576547	XP_003250229	K00115	ame01100	
100576552	XP_003249116			
100576554	XP_003249479	K24227		
100576555	XP_003249671	K08371		
100576557	XP_026299382			
100576559	XP_003251400			
100576563	XP_003249156	K23696		
100576565	XP_006560498			
100576568	XP_003250114			
100576569	XP_003250264			
100576571	XP_026294856	K21752		
100576572	XP_026299008	K07178	ame03008	Ribosome biogenesis in eukaryotes - Apis mellifera (honey bee)
100576584	XP_026296532			
100576586	XP_026301974	K23195		
100576590	XP_026301501			
100576591	XP_026300788			
100576592	XP_026301323			
100576597	XP_026296836			
100576600	XP_003251401	K09228		
100576603	XP_006559838			
100576606	XP_026297494			
100576608	XP_003250715			
100576610	XP_003251071	K17655		
100576612	XP_026301334			
100576614	XP_026301316			
100576615	XP_003249647			
100576617	XP_003250395			
100576619	XP_003250601			
100576620	XP_026295328	K12850	ame03040	Spliceosome - Apis mellifera (honey bee)
100576621	XP_003251572			
100576623	XP_006572180			
100576625	XP_026301145	K18415		
100576637	XP_026297220	K01312	ame04080	Neuroactive ligand-receptor interaction - Apis mellifera (honey bee)
100576638	XP_026295320			
100576640	XP_006561662	K10605	ame03440	Homologous recombination - Apis mellifera (honey bee)
100576640	XP_006561662	K10605	ame03460	Fanconi anemia pathway - Apis mellifera (honey bee)
100576640	XP_006561662	K10605	ame04120	Ubiquitin mediated proteolysis - Apis mellifera (honey bee)
100576645	XP_006564568			
100576646	XP_026299440	K00627	ame00020	Citrate cycle (TCA cycle) - Apis mellifera (honey bee)
100576646	XP_026299440	K00627	ame00620	Pyruvate metabolism - Apis mellifera (honey bee)
100576646	XP_026299440	K00627	ame00785	Lipoic acid metabolism - Apis mellifera (honey bee)
100576646	XP_026299440	K00627	ame01100	
100576646	XP_026299440	K00627	ame01200	Carbon metabolism - Apis mellifera (honey bee)
100576646	XP_026299440	K00627	ame01210	2-Oxocarboxylic acid metabolism - Apis mellifera (honey bee)
100576647	XP_026299546			
100576649	XP_026302188	K10858	ame03430	Mismatch repair - Apis mellifera (honey bee)
100576649	XP_026302188	K10858	ame03460	Fanconi anemia pathway - Apis mellifera (honey bee)
100576660	XP_003251546	K00953	ame00740	Riboflavin metabolism - Apis mellifera (honey bee)
100576660	XP_003251546	K00953	ame01100	
100576660	XP_003251546	K00953	ame01240	Biosynthesis of cofactors - Apis mellifera (honey bee)
100576662	XP_003251744			
100576666	XP_006565429	K26153		
100576667	XP_006567935	K10601	ame04120	Ubiquitin mediated proteolysis - Apis mellifera (honey bee)
100576667	XP_006567935	K10601	ame04141	Protein processing in endoplasmic reticulum - Apis mellifera (honey bee)
100576669	XP_006570983	K18410		
100576671	XP_006558575	K11459	ame03083	Polycomb repressive complex - Apis mellifera (honey bee)
100576677	XP_026295466	K10871	ame03440	Homologous recombination - Apis mellifera (honey bee)
100576679	XP_016769679			
100576681	NP_001229910	K22984		
100576683	XP_026296763			
100576687	XP_026297507			
100576688	XP_026300914			
100576690	XP_006562355			
100576700	XP_006558615	K08040		
100576702	XP_003249924			
100576703	XP_026297145			
100576705	XP_026300237			
100576706	XP_003251298	K05864		
100576708	XP_026298720	K15700		
100576709	XP_006557820	K21763		
100576714	XP_026294764	K22984		
100576717	XP_003250928	K20915		
100576718	XP_003251443			
100576722	XP_016771413			
100576730	XP_003251489			
100576733	XP_026295013	K10572	ame00562	Inositol phosphate metabolism - Apis mellifera (honey bee)
100576733	XP_026295013	K10572	ame01100	
100576733	XP_026295013	K10572	ame04070	Phosphatidylinositol signaling system - Apis mellifera (honey bee)
100576734	XP_026300764	K22984		
100576735	XP_006558776	K13353	ame04146	Peroxisome - Apis mellifera (honey bee)
100576736	XP_003249482			
100576737	XP_003249546			
100576738	XP_003249603			
100576740	XP_026301408			
100576741	XP_026297508			
100576742	XP_003250860			
100576744	XP_003250895			
100576745	XP_003250993			
100576746	XP_003251243			
100576747	XP_026302004	K18405		
100576748	XP_006571876			
100576749	NP_001229904	K22984		
100576754	XP_006558267	K11492		
100576758	XP_006564116			
100576759	XP_006564844			
100576760	XP_003251427			
100576761	XP_006570533	K26098		
100576765	XP_026295876			
100576767	XP_003249650			
100576768	XP_003249693			
100576770	XP_003250615			
100576773	XP_016770623	K15734	ame00830	Retinol metabolism - Apis mellifera (honey bee)
100576773	XP_016770623	K15734	ame01100	
100576773	XP_016770623	K15734	ame01240	Biosynthesis of cofactors - Apis mellifera (honey bee)
100576774	XP_016770872			
100576775	XP_006571844	K17583		
100576779	XP_026301689			
100576781	XP_006560175			
100576783	XP_006565964	K22984		
100576784	XP_003251225	K11680	ame03082	ATP-dependent chromatin remodeling - Apis mellifera (honey bee)
100576789	XP_003249351	K19613		
100576794	XP_003251125	K12849	ame03040	Spliceosome - Apis mellifera (honey bee)
100576795	XP_003251210			
100576796	XP_003251276			
100576797	XP_026296169	K00507	ame01040	Biosynthesis of unsaturated fatty acids - Apis mellifera (honey bee)
100576797	XP_026296169	K00507	ame01100	
100576797	XP_026296169	K00507	ame01212	Fatty acid metabolism - Apis mellifera (honey bee)
100576799	XP_026301456			
100576801	XP_003249413	K00025	ame00020	Citrate cycle (TCA cycle) - Apis mellifera (honey bee)
100576801	XP_003249413	K00025	ame00270	Cysteine and methionine metabolism - Apis mellifera (honey bee)
100576801	XP_003249413	K00025	ame00620	Pyruvate metabolism - Apis mellifera (honey bee)
100576801	XP_003249413	K00025	ame00630	Glyoxylate and dicarboxylate metabolism - Apis mellifera (honey bee)
100576801	XP_003249413	K00025	ame01100	
100576801	XP_003249413	K00025	ame01200	Carbon metabolism - Apis mellifera (honey bee)
100576803	XP_026300818			
100576805	XP_003250539			
100576812	XP_003249221			
100576814	XP_003250216			
100576816	XP_006565962	K22984		
100576817	XP_003251146	K09228		
100576818	XP_026302224	K00729	ame00510	N-Glycan biosynthesis - Apis mellifera (honey bee)
100576818	XP_026302224	K00729	ame01100	
100576819	XP_026300395	K20009	ame04214	Apoptosis - fly - Apis mellifera (honey bee)
100576819	XP_026300395	K20009	ame04215	Apoptosis - multiple species - Apis mellifera (honey bee)
100576820	XP_026301834			
100576826	XP_006567941	K23893		
100576828	XP_006572034	K18411		
100576829	XP_003251885			
100576831	XP_016769263	K24205		
100576836	XP_026296905			
100576838	XP_006570994	K01312	ame04080	Neuroactive ligand-receptor interaction - Apis mellifera (honey bee)
100576839	XP_003249278	K22984		
100576840	XP_006559331			
100576843	XP_003250399	K16753		
100576847	XP_006568940	K02267	ame00190	Oxidative phosphorylation - Apis mellifera (honey bee)
100576847	XP_006568940	K02267	ame01100	
100576848	XP_026296419	K16912		
100576850	XP_003249097	K11108	ame03008	Ribosome biogenesis in eukaryotes - Apis mellifera (honey bee)
100576851	XP_026300353	K16548		
100576855	XP_026301363			
100576859	XP_006567940	K25395		
100576862	XP_026294735	K18709		
100576863	XP_003249525			
100576864	XP_003249585			
100576866	XP_003249694	K07739		
100576871	XP_006568656	K16453		
100576872	XP_003251445	K10994		
100576876	XP_006561668			
100576878	XP_006562666			
100576879	XP_016771452	K20404	ame04150	mTOR signaling pathway - Apis mellifera (honey bee)
100576881	XP_026294957	K22984		
100576882	XP_006566136			
100576885	XP_026298618	K16471		
100576886	XP_006572354			
100576891	XP_003250269			
100576894	XP_026295819			
100576895	XP_026297083	K13356	ame04146	Peroxisome - Apis mellifera (honey bee)
100576896	XP_006572186			
100576898	XP_026295859			
100576901	XP_026295426			
100576902	XP_026298617			
100576903	XP_003250043			
100576908	XP_003251511	K11471	ame03083	Polycomb repressive complex - Apis mellifera (honey bee)
100576912	XP_003250132	K09048		
100576914	XP_006565958	K22984		
100576915	XP_006566138			
100576916	XP_006568328			
100576918	XP_016771938			
100576919	XP_003251907			
100576924	XP_003249673			
100576930	XP_003251848	K22385		
100576932	XP_003249224			
100576934	XP_026300920			
100576935	XP_003249929			
100576936	XP_003251245			
100576938	XP_016770824	K11504		
100576940	XP_026300229	K22984		
100576944	XP_003250750	K22984		
100576945	XP_003250831	K18173		
100576947	XP_006566798	K22420		
100576948	XP_026297445			
100576949	XP_006568972			
100576951	XP_003251908	K26469		
100576953	XP_026295422	K00939	ame00230	Purine metabolism - Apis mellifera (honey bee)
100576953	XP_026295422	K00939	ame00730	Thiamine metabolism - Apis mellifera (honey bee)
100576953	XP_026295422	K00939	ame01100	
100576953	XP_026295422	K00939	ame01232	Nucleotide metabolism - Apis mellifera (honey bee)
100576953	XP_026295422	K00939	ame01240	Biosynthesis of cofactors - Apis mellifera (honey bee)
100576956	XP_003250045	K16866		
100576957	XP_016769709			
100576958	XP_016772312	K17601		
100576960	XP_003250450	K02333	ame03410	Base excision repair - Apis mellifera (honey bee)
100576961	XP_006565343			
100576963	XP_003250810			
100576964	XP_003250996			
100576965	XP_006567855			
100576966	XP_003251531			
100576967	XP_006572119	K14324	ame03013	Nucleocytoplasmic transport - Apis mellifera (honey bee)
100576967	XP_006572119	K14324	ame03015	mRNA surveillance pathway - Apis mellifera (honey bee)
100576968	XP_003249526	K16684	ame04391	Hippo signaling pathway - fly - Apis mellifera (honey bee)
100576968	XP_003249526	K16684	ame04392	Hippo signaling pathway - multiple species - Apis mellifera (honey bee)
100576972	XP_026298081	K11791		
100576974	XP_003251227			
100576975	XP_003251246			
100576976	XP_006571002			
100576982	XP_003250133			
100576983	XP_003250194			
100576984	XP_003250751	K22984		
100576985	XP_006566801			
100576986	XP_003251314			
100576989	XP_016770369	K13718		
100576990	XP_026295303	K06676		
100576992	XP_026300227	K22984		
100576993	XP_006557404	K23560		
100576994	XP_006557903			
100576996	XP_016771820			
100577000	XP_003250023	K15439		
100577002	XP_006565014	K03103	ame00010	Glycolysis / Gluconeogenesis - Apis mellifera (honey bee)
100577002	XP_006565014	K03103	ame00562	Inositol phosphate metabolism - Apis mellifera (honey bee)
100577002	XP_006565014	K03103	ame01100	
100577003	XP_003250617			
100577004	XP_006566224			
100577014	XP_003250465			
100577015	XP_026296420			
100577017	XP_026298943			
100577018	XP_026297555			
100577019	XP_006570900			
100577020	XP_003251670			
100577024	XP_003249281	K22984		
100577026	XP_003249565	K27318		
100577027	XP_003249834	K10803	ame03410	Base excision repair - Apis mellifera (honey bee)
100577028	XP_026297928			
100577030	XP_026300929			
100577031	NP_001229902	K22984		
100577033	XP_003251429			
100577039	XP_026296941			
100577041	XP_006566554			
100577043	XP_006571499			
100577044	XP_026295418			
100577045	XP_003249323			
100577046	XP_026301690			
100577047	XP_016766584			
100577050	XP_006563085	K17595		
100577053	XP_026298096	K00281	ame00260	Glycine, serine and threonine metabolism - Apis mellifera (honey bee)
100577053	XP_026298096	K00281	ame00630	Glyoxylate and dicarboxylate metabolism - Apis mellifera (honey bee)
100577053	XP_026298096	K00281	ame00670	One carbon pool by folate - Apis mellifera (honey bee)
100577053	XP_026298096	K00281	ame00785	Lipoic acid metabolism - Apis mellifera (honey bee)
100577053	XP_026298096	K00281	ame01100	
100577053	XP_026298096	K00281	ame01200	Carbon metabolism - Apis mellifera (honey bee)
100577054	XP_026296013			
100577057	XP_026297190			
100577060	XP_003249119			
100577064	XP_026298463			
100577065	XP_016771718			
100577068	XP_016773539	K22984		
100577069	XP_026299131	K09091	ame04330	Notch signaling pathway - Apis mellifera (honey bee)
100577071	XP_026298206			
100577073	XP_006570344			
100577080	XP_003249877			
100577081	XP_003250270	K00254	ame00240	Pyrimidine metabolism - Apis mellifera (honey bee)
100577081	XP_003250270	K00254	ame01100	
100577081	XP_003250270	K00254	ame01240	Biosynthesis of cofactors - Apis mellifera (honey bee)
100577082	XP_006565374			
100577091	XP_006562814	K08471		
100577092	XP_006565118			
100577094	XP_026296677			
100577098	XP_003249566			
100577101	XP_003250754	K22984		
100577102	XP_006566152			
100577106	XP_003251315			
100577107	XP_003251470			
100577110	XP_003249878			
100577112	XP_003250271			
100577113	XP_026301808			
100577118	XP_026297873			
100577120	XP_003249302	K08866		
100577121	XP_003249655			
100577122	XP_003249792			
100577127	XP_006569243	K16913		
100577128	XP_003251403			
100577132	XP_003249567			
100577135	XP_003250135	K18259		
100577136	XP_006565026	K17868		
100577138	XP_006566235	K13298	ame00230	Purine metabolism - Apis mellifera (honey bee)
100577138	XP_006566235	K13298	ame01100	
100577139	XP_006569026	K15195		
100577140	XP_003251417	K00699	ame00040	Pentose and glucuronate interconversions - Apis mellifera (honey bee)
100577140	XP_003251417	K00699	ame00053	Ascorbate and aldarate metabolism - Apis mellifera (honey bee)
100577140	XP_003251417	K00699	ame00830	Retinol metabolism - Apis mellifera (honey bee)
100577140	XP_003251417	K00699	ame00860	Porphyrin metabolism - Apis mellifera (honey bee)
100577140	XP_003251417	K00699	ame00980	Metabolism of xenobiotics by cytochrome P450 - Apis mellifera (honey bee)
100577140	XP_003251417	K00699	ame00982	Drug metabolism - cytochrome P450 - Apis mellifera (honey bee)
100577140	XP_003251417	K00699	ame00983	Drug metabolism - other enzymes - Apis mellifera (honey bee)
100577140	XP_003251417	K00699	ame01100	
100577140	XP_003251417	K00699	ame01240	Biosynthesis of cofactors - Apis mellifera (honey bee)
100577142	XP_026302035	K04599		
100577143	XP_003251890			
100577145	XP_003249139	K22470	ame00920	Sulfur metabolism - Apis mellifera (honey bee)
100577145	XP_003249139	K22470	ame01100	
100577146	XP_026300472			
100577147	XP_026295318			
100577149	XP_003249630	K00069	ame00590	Arachidonic acid metabolism - Apis mellifera (honey bee)
100577150	XP_003249879			
100577151	XP_003249931			
100577155	XP_003250542			
100577156	XP_003250667	K01183	ame00520	Amino sugar and nucleotide sugar metabolism - Apis mellifera (honey bee)
100577156	XP_003250667	K01183	ame01100	
100577159	XP_026297566			
100577161	XP_003251870			
100577163	XP_016772428			
100577165	XP_016769724			
100577168	XP_003251600			
100577174	XP_006560534	K20210	ame04013	MAPK signaling pathway - fly - Apis mellifera (honey bee)
100577178	XP_003250376			
100577180	XP_006565809			
100577181	NP_001229901	K22984		
100577188	XP_026299134			
100577189	NP_001257751			
100577192	XP_003250467	K10703	ame00062	Fatty acid elongation - Apis mellifera (honey bee)
100577192	XP_003250467	K10703	ame01040	Biosynthesis of unsaturated fatty acids - Apis mellifera (honey bee)
100577192	XP_003250467	K10703	ame01100	
100577192	XP_003250467	K10703	ame01212	Fatty acid metabolism - Apis mellifera (honey bee)
100577194	XP_026301011	K24634		
100577196	XP_006567442			
100577197	XP_026300198			
100577198	XP_003251871			
100577202	XP_016770987			
100577209	XP_006563667			
100577213	XP_003251580	K05142		
100577214	XP_003251601	K02104	ame04013	MAPK signaling pathway - fly - Apis mellifera (honey bee)
100577214	XP_003251601	K02104	ame04320	Dorso-ventral axis formation - Apis mellifera (honey bee)
100577220	XP_003249454			
100577221	XP_003249568			
100577222	XP_006560378			
100577224	XP_026295434			
100577226	XP_003250757	K22984		
100577228	XP_026295420	K18407		
100577229	XP_003249529			
100577231	XP_026296580			
100577235	XP_026297713			
100577237	XP_003251129			
100577239	NP_001314877			
100577242	XP_026295591	K27536	ame00760	Nicotinate and nicotinamide metabolism - Apis mellifera (honey bee)
100577242	XP_026295591	K27536	ame01100	
100577250	XP_026299575	K09228		
100577252	XP_006561733			
100577253	XP_006564069	K20780		
100577254	XP_006565038	K04926		
100577255	XP_026294826			
100577263	XP_026300766	K13127		
100577268	XP_006563807			
100577269	XP_006563921			
100577272	XP_006569341			
100577273	NP_001314878			
100577279	XP_003250197			
100577280	XP_026298307	K09189	ame00310	Lysine degradation - Apis mellifera (honey bee)
100577280	XP_026298307	K09189	ame01100	
100577283	XP_003251247			
100577285	XP_006569198	K22384	ame03060	Protein export - Apis mellifera (honey bee)
100577288	XP_003249880			
100577293	XP_003250933			
100577295	XP_003251098			
100577296	XP_003251418	K10903		
100577300	XP_003249198			
100577302	XP_026298327	K17560		
100577308	XP_006566106			
100577309	NP_001229915	K22984		
100577320	XP_003250293			
100577322	XP_006568109			
100577324	XP_003251447			
100577325	XP_003249360			
100577327	XP_016767006			
100577331	XP_003250137			
100577332	XP_016769155	K17894		
100577334	XP_026294903	K22984		
100577335	XP_003251099			
100577341	XP_003249755			
100577342	XP_006561985			
100577343	XP_003250469			
100577344	XP_003250883			
100577346	XP_003251651	K03440		
100577347	XP_003249162			
100577348	XP_006558548			
100577351	XP_006564732			
100577358	XP_026298459	K19752		
100577359	XP_003250047			
100577362	XP_003250694			
100577363	XP_026298239			
100577364	XP_016770216			
100577365	XP_003251690	K09319	ame04341	Hedgehog signaling pathway - fly - Apis mellifera (honey bee)
100577367	XP_016771378	K22594		
100577369	XP_003249984	K24815		
100577371	NP_001229914	K22984		
100577376	NP_001306197	K04861		
100577377	XP_026294728	K17656		
100577378	XP_006557527	K00849	ame00052	Galactose metabolism - Apis mellifera (honey bee)
100577378	XP_006557527	K00849	ame00520	Amino sugar and nucleotide sugar metabolism - Apis mellifera (honey bee)
100577378	XP_006557527	K00849	ame01100	
100577378	XP_006557527	K00849	ame01250	Biosynthesis of nucleotide sugars - Apis mellifera (honey bee)
100577381	XP_003250048			
100577382	XP_003250338	K16812		
100577385	XP_026297671			
100577386	XP_006565420	K21412		
100577387	XP_003250695			
100577393	XP_026297215	K04361	ame03272	Virion - Hepatitis viruses - Apis mellifera (honey bee)
100577393	XP_026297215	K04361	ame04013	MAPK signaling pathway - fly - Apis mellifera (honey bee)
100577393	XP_026297215	K04361	ame04068	FoxO signaling pathway - Apis mellifera (honey bee)
100577393	XP_026297215	K04361	ame04144	Endocytosis - Apis mellifera (honey bee)
100577393	XP_026297215	K04361	ame04214	Apoptosis - fly - Apis mellifera (honey bee)
