K14018	dme:Dmel_CG5105
K01834	dme:Dmel_CG17645
K00573	dme:Dmel_CG2152
K02599	dme:Dmel_CG3936
K02146	dme:Dmel_CG2934
K02150	dme:Dmel_CG1088
K02872	dme:Dmel_CG1475
K02175	dme:Dmel_CG4934
K00161	dme:Dmel_CG7024
K00894	dme:Dmel_CG3525
K00799	dme:Dmel_CG5164
K03237	dme:Dmel_CG9946
K01883	dme:Dmel_CG8257
K01648	dme:Dmel_CG8322
K02989	dme:Dmel_CG8922
K02973	dme:Dmel_CG8415
K00387	dme:Dmel_CG7280
K00799	dme:Dmel_CG10045
K00799	dme:Dmel_CG4181
K01647	dme:Dmel_CG3861
K00799	dme:Dmel_CG4381
K00637	dme:Dmel_CG8112
K00799	dme:Dmel_CG11512
K00799	dme:Dmel_CG4423
K00799	dme:Dmel_CG4371
K02894	dme:Dmel_CG3661
K02974	dme:Dmel_CG3751
K02726	dme:Dmel_CG5266
K02259	dme:Dmel_CG3803
K00504	dme:Dmel_CG3832
K00507	dme:Dmel_CG5887
K02924	dme:Dmel_CG3997
K03023	dme:Dmel_CG12267
K02147	dme:Dmel_CG17369
K00654	dme:Dmel_CG4016
K02349	dme:Dmel_CG6019
K02960	dme:Dmel_CG4046
K01873	dme:Dmel_CG4062
K02942	dme:Dmel_CG4087
K01641	dme:Dmel_CG4311
K01444	dme:Dmel_CG4372
K01049	dme:Dmel_CG17907
K03010	dme:Dmel_CG3180
K00166	dme:Dmel_CG8199
K00797	dme:Dmel_CG8327
K00940	dme:Dmel_CG8362
K03063	dme:Dmel_CG9475
K01809	dme:Dmel_CG8417
K02865	dme:Dmel_CG3843
K00008	dme:Dmel_CG4649
K03264	dme:Dmel_CG17611
K02885	dme:Dmel_CG2746
K00939	dme:Dmel_CG3140
K03263	dme:Dmel_CG3186
K02870	dme:Dmel_CG3195
K00006	dme:Dmel_CG3215
K01077	dme:Dmel_CG3264
K01077	dme:Dmel_CG3290
K01077	dme:Dmel_CG3292
K00669	dme:Dmel_CG3318
K01280	dme:Dmel_CG3991
K03038	dme:Dmel_CG3416
K01930	dme:Dmel_CG2543
K02964	dme:Dmel_CG8900
K01634	dme:Dmel_CG8946
K01672	dme:Dmel_CG9235
K01482	dme:Dmel_CG1764
K02957	dme:Dmel_CG2033
K00814	dme:Dmel_CG1640
K00826	dme:Dmel_CG1673
K01021	dme:Dmel_CG32632
K01950	dme:Dmel_CG9940
K01363	dme:Dmel_CG10992
K01785	dme:Dmel_CG10996
K00815	dme:Dmel_CG1461
K00940	dme:Dmel_CG5310
K02737	dme:Dmel_CG9868
K02260	dme:Dmel_CG9065
K02922	dme:Dmel_CG9091
K01251	dme:Dmel_CG11654
K01077	dme:Dmel_CG8105
K02922	dme:Dmel_CG9873
K00927	dme:Dmel_CG9961
K01597	dme:Dmel_CG8239
K03018	dme:Dmel_CG17209
K01887	dme:Dmel_CG9020
K00134	dme:Dmel_CG8893
K03037	dme:Dmel_CG5378
K01869	dme:Dmel_CG7479
K06258	dme:Dmel_CG3168
K02270	dme:Dmel_CG18193
K02258	dme:Dmel_CG31648
K02981	dme:Dmel_CG5920
K10479	dme:Dmel_CG16952
K00591	dme:Dmel_CG9249
K01951	dme:Dmel_CG9242
K06268	dme:Dmel_CG11217
K05961	dme:Dmel_CG5452
K00286	dme:Dmel_CG6009
K00252	dme:Dmel_CG9547
K02138	dme:Dmel_CG6030
K02295	dme:Dmel_CG3772
K01899	dme:Dmel_CG6255
K01759	dme:Dmel_CG1707
K02152	dme:Dmel_CG6213
K02427	dme:Dmel_CG11447
K02265	dme:Dmel_CG11015
K02265	dme:Dmel_CG11043
K03256	dme:Dmel_CG9596
K01858	dme:Dmel_CG11143
K03248	dme:Dmel_CG10881
K00026	dme:Dmel_CG10748
K00471	dme:Dmel_CG4335
K02184	dme:Dmel_CG3399
K00026	dme:Dmel_CG10749
K02927	dme:Dmel_CG2960
K03104	dme:Dmel_CG5417
K03108	dme:Dmel_CG5434
K02900	dme:Dmel_CG15442
K00587	dme:Dmel_CG11268
K02731	dme:Dmel_CG17268
K03211	dme:Dmel_CG3166
K02358	dme:Dmel_CG12736
K01077	dme:Dmel_CG10827
K00111	dme:Dmel_CG2137
K01640	dme:Dmel_CG10399
K00699	dme:Dmel_CG11289
K02355	dme:Dmel_CG4567
K02320	dme:Dmel_CG6349
K03000	dme:Dmel_CG13418
K00030	dme:Dmel_CG6439
K01764	dme:Dmel_CG6022
K03025	dme:Dmel_CG5380
K00873	dme:Dmel_CG7069
K01672	dme:Dmel_CG5379
K02987	dme:Dmel_CG11276
K03061	dme:Dmel_CG1341
K02140	dme:Dmel_CG7211
K00365	dme:Dmel_CG7171
K02929	dme:Dmel_CG7424
K02370	dme:Dmel_CG15110
K03120	dme:Dmel_CG7562
K01489	dme:Dmel_CG8360
K02324	dme:Dmel_CG6768
K02131	dme:Dmel_CG4412
K00139	dme:Dmel_CG4685
K00030	dme:Dmel_CG5028
K02901	dme:Dmel_CG4759
K02999	dme:Dmel_CG10122
K02915	dme:Dmel_CG6090
K01623	dme:Dmel_CG6058
K03031	dme:Dmel_CG4157
K01273	dme:Dmel_CG6154
K01360	dme:Dmel_CG6438
K01672	dme:Dmel_CG6074
K01080	dme:Dmel_CG8804
K02873	dme:Dmel_CG4651
K02321	dme:Dmel_CG5923
K01077	dme:Dmel_CG1809
K01599	dme:Dmel_CG1818
K02910	dme:Dmel_CG1821
K02937	dme:Dmel_CG4897
K02725	dme:Dmel_CG4904
K03120	dme:Dmel_CG9874
K00382	dme:Dmel_CG7430
K00311	dme:Dmel_CG12140
K01867	dme:Dmel_CG7441
K03026	dme:Dmel_CG5147
K02947	dme:Dmel_CG12275
K00615	dme:Dmel_CG5103
K02257	dme:Dmel_CG5037
K01008	dme:Dmel_CG5025
K01358	dme:Dmel_CG5045
K02977	dme:Dmel_CG5271
K00820	dme:Dmel_CG1345
K01322	dme:Dmel_CG5355
K03124	dme:Dmel_CG5193
K01802	dme:Dmel_CG1866
K02519	dme:Dmel_CG12413
K00605	dme:Dmel_CG6415
K03245	dme:Dmel_CG12131
K02272	dme:Dmel_CG2249
K02140	dme:Dmel_CG6105
K03259	dme:Dmel_CG1442
K02156	dme:Dmel_CG6137
K02940	dme:Dmel_CG6141
K02898	dme:Dmel_CG6846
K02266	dme:Dmel_CG14077
K03032	dme:Dmel_CG11888
K00831	dme:Dmel_CG11899
K03233	dme:Dmel_CG11901
K01047	dme:Dmel_CG14507
K00451	dme:Dmel_CG4779
K01769	dme:Dmel_CG33114
K00058	dme:Dmel_CG6287
K01785	dme:Dmel_CG4988
K02154	dme:Dmel_CG12602
K03134	dme:Dmel_CG2859
K02971	dme:Dmel_CG2986
K01493	dme:Dmel_CG6951
K01187	dme:Dmel_CG14934
K01187	dme:Dmel_CG14935
K02937	dme:Dmel_CG5317
K01868	dme:Dmel_CG5353
K06173	dme:Dmel_CG4159
K02985	dme:Dmel_CG6779
K02739	dme:Dmel_CG3329
K01880	dme:Dmel_CG6778
K00486	dme:Dmel_CG1555
K00134	dme:Dmel_CG12055
K01590	dme:Dmel_CG3454
K00430	dme:Dmel_CG11765
K00555	dme:Dmel_CG6388
K01768	dme:Dmel_CG17174
K01768	dme:Dmel_CG17176
K02145	dme:Dmel_CG3762
K02145	dme:Dmel_CG5075
K00621	dme:Dmel_CG1969
K02136	dme:Dmel_CG7610
K02145	dme:Dmel_CG12403
K03265	dme:Dmel_CG5605
K03521	dme:Dmel_CG7834
K01672	dme:Dmel_CG12309
K02737	dme:Dmel_CG12323
K02685	dme:Dmel_CG5553
K01408	dme:Dmel_CG5517
K02350	dme:Dmel_CG1925
K01489	dme:Dmel_CG8349
K00729	dme:Dmel_CG7870
K01379	dme:Dmel_CG1548
K02953	dme:Dmel_CG13389
K01872	dme:Dmel_CG13391
K01205	dme:Dmel_CG13397
K01283	dme:Dmel_CG10593
K01613	dme:Dmel_CG5991
K01312	dme:Dmel_CG9564
K03144	dme:Dmel_CG7764
K03469	dme:Dmel_CG8729
K01092	dme:Dmel_CG17028
K01412	dme:Dmel_CG8728
K01581	dme:Dmel_CG8721
K02085	dme:Dmel_CG6193
K01581	dme:Dmel_CG8719
K01890	dme:Dmel_CG5706
K00876	dme:Dmel_CG6364
K00128	dme:Dmel_CG3752
K00791	dme:Dmel_CG31381
K00128	dme:Dmel_CG31075
K00134	dme:Dmel_CG9010
K01176	dme:Dmel_CG18730
K01176	dme:Dmel_CG17876
K02729	dme:Dmel_CG10938
K00948	dme:Dmel_CG6767
K00772	dme:Dmel_CG4802
K03128	dme:Dmel_CG6711
K01495	dme:Dmel_CG9441
K02728	dme:Dmel_CG9327
K03130	dme:Dmel_CG6577
K00942	dme:Dmel_CG11811
K03217	dme:Dmel_CG6404
K02132	dme:Dmel_CG3612
K02731	dme:Dmel_CG4569
K02130	dme:Dmel_CG4692
K01915	dme:Dmel_CG2718
K03002	dme:Dmel_CG4033
K00457	dme:Dmel_CG11796
K02995	dme:Dmel_CG7808
K01001	dme:Dmel_CG5287
K00967	dme:Dmel_CG5547
K02835	dme:Dmel_CG5705
K02725	dme:Dmel_CG5648
K03239	dme:Dmel_CG7883
K03016	dme:Dmel_CG11246
K00294	dme:Dmel_CG7145
K02957	dme:Dmel_CG12324
K02979	dme:Dmel_CG15527
K03130	dme:Dmel_CG7704
K02912	dme:Dmel_CG7939
K03013	dme:Dmel_CG11979
K03142	dme:Dmel_CG11115
K02866	dme:Dmel_CG17521
K02896	dme:Dmel_CG9282
K01312	dme:Dmel_CG12350
K00953	dme:Dmel_CG16848
K00111	dme:Dmel_CG7311
K01672	dme:Dmel_CG7820
K03099	dme:Dmel_CG7793
K00472	dme:Dmel_CG9726
K01312	dme:Dmel_CG12387
K02332	dme:Dmel_CG8987
K01312	dme:Dmel_CG12386
K03066	dme:Dmel_CG2241
K01283	dme:Dmel_CG8827
K01512	dme:Dmel_CG16870
K01312	dme:Dmel_CG12385
K01312	dme:Dmel_CG18444
K01312	dme:Dmel_CG18681
K00565	dme:Dmel_CG3688
K03145	dme:Dmel_CG3710
K00654	dme:Dmel_CG4162
K01312	dme:Dmel_CG18211
K01312	dme:Dmel_CG30031
K01312	dme:Dmel_CG7754
K02734	dme:Dmel_CG17331
K03260	dme:Dmel_CG10811
K00699	dme:Dmel_CG13270
K00699	dme:Dmel_CG13271
K00019	dme:Dmel_CG13377
K01262	dme:Dmel_CG6291
K03008	dme:Dmel_CG6840
K02728	dme:Dmel_CG1736
K02357	dme:Dmel_CG6412
K02976	dme:Dmel_CG10305
K03522	dme:Dmel_CG8996
K02908	dme:Dmel_CG10652
K03033	dme:Dmel_CG42641
K00962	dme:Dmel_CG11337
K03231	dme:Dmel_CG8280
K02934	dme:Dmel_CG11522
K03231	dme:Dmel_CG1873
K01195	dme:Dmel_CG2135
K01476	dme:Dmel_CG18104
K03021	dme:Dmel_CG8344
K00852	dme:Dmel_CG13369
K02920	dme:Dmel_CG7622
K01893	dme:Dmel_CG10687
K02891	dme:Dmel_CG7434
K03020	dme:Dmel_CG10685
K00728	dme:Dmel_CG12311
K03123	dme:Dmel_CG11639
K01077	dme:Dmel_CG16771
K03164	dme:Dmel_CG10223
K00721	dme:Dmel_CG10166
K01784	dme:Dmel_CG12030
K02263	dme:Dmel_CG10664
K03515	dme:Dmel_CG12189
K02183	dme:Dmel_CG8472
K03127	dme:Dmel_CG10756
K00699	dme:Dmel_CG11012
K02998	dme:Dmel_CG14792
K02261	dme:Dmel_CG34069
K02256	dme:Dmel_CG34067
K02125	dme:Dmel_CG34072
K02540	dme:Dmel_CG7538
K01512	dme:Dmel_CG14022
K00624	dme:Dmel_CG5265
K02215	dme:Dmel_CG11924
K03030	dme:Dmel_CG18174
K03246	dme:Dmel_CG8882
K03027	dme:Dmel_CG3756
K01672	dme:Dmel_CG6906
K01044	dme:Dmel_CG6917
K01711	dme:Dmel_CG8890
K02263	dme:Dmel_CG10396
K00287	dme:Dmel_CG14887
K02921	dme:Dmel_CG5827
K01410	dme:Dmel_CG7791
K02268	dme:Dmel_CG14028
K01187	dme:Dmel_CG8694
K01187	dme:Dmel_CG8695
K01187	dme:Dmel_CG8693
K01187	dme:Dmel_CG11669
K02327	dme:Dmel_CG5949
K03135	dme:Dmel_CG4079
K02133	dme:Dmel_CG5389
K00231	dme:Dmel_CG5796
K01870	dme:Dmel_CG5414
K03007	dme:Dmel_CG13628
K01265	dme:Dmel_CG13630
K01265	dme:Dmel_CG4008
K01414	dme:Dmel_CG11771
K01885	dme:Dmel_CG4573
K01866	dme:Dmel_CG4561
K02104	dme:Dmel_CG4531
K01810	dme:Dmel_CG8251
K01698	dme:Dmel_CG10335
K02564	dme:Dmel_CG6957
K03238	dme:Dmel_CG4153
K03257	dme:Dmel_CG9075
K01952	dme:Dmel_CG9127
K01836	dme:Dmel_CG10627
K00856	dme:Dmel_CG1851
K02266	dme:Dmel_CG30093
K02947	dme:Dmel_CG14206
K01262	dme:Dmel_CG9581
K02868	dme:Dmel_CG7726
K00844	dme:Dmel_CG8094
K03141	dme:Dmel_CG8151
K01443	dme:Dmel_CG17065
K06051	dme:Dmel_CG3619
K02541	dme:Dmel_CG4206
K25191	dme:Dmel_CG11342
K06061	dme:Dmel_CG8118
K06063	dme:Dmel_CG8264
K06062	dme:Dmel_CG4107
K01758	dme:Dmel_CG5345
K00914	dme:Dmel_CG5373
K00943	dme:Dmel_CG5757
K00505	dme:Dmel_CG42639
K01697	dme:Dmel_CG1753
K02358	dme:Dmel_CG6050
K00314	dme:Dmel_CG6385
K00720	dme:Dmel_CG6437
K03066	dme:Dmel_CG1489
K01835	dme:Dmel_CG5165
K02882	dme:Dmel_CG6510
K01893	dme:Dmel_CG6796
K00357	dme:Dmel_CG4665
K08252	dme:Dmel_CG14992
K02893	dme:Dmel_CG7977
K00864	dme:Dmel_CG7995
K01183	dme:Dmel_CG2054
K02328	dme:Dmel_CG12018
K00759	dme:Dmel_CG18315
K01768	dme:Dmel_CG5712
K00249	dme:Dmel_CG12262
K01749	dme:Dmel_CG9165
K02684	dme:Dmel_CG7108
K00253	dme:Dmel_CG6638
K02875	dme:Dmel_CG6253
K02306	dme:Dmel_CG4974
K01873	dme:Dmel_CG5660
K03107	dme:Dmel_CG5064
K00934	dme:Dmel_CG5144
K07951	dme:Dmel_CG7735
K00432	dme:Dmel_CG12013
K03243	dme:Dmel_CG10840
K01889	dme:Dmel_CG13348
K03691	dme:Dmel_CG12366
K01008	dme:Dmel_CG8553
K00803	dme:Dmel_CG10253
K02149	dme:Dmel_CG8186
K01077	dme:Dmel_CG10592
K01077	dme:Dmel_CG5150
K02325	dme:Dmel_CG10489
K01785	dme:Dmel_CG10467
K02151	dme:Dmel_CG8210
K03259	dme:Dmel_CG10124
K00012	dme:Dmel_CG10072
K02883	dme:Dmel_CG8615
K03105	dme:Dmel_CG4457
K00981	dme:Dmel_CG7962
K00671	dme:Dmel_CG7436
K01176	dme:Dmel_CG8221
K08360	dme:Dmel_CG1275
K00289	dme:Dmel_CG8665
K01322	dme:Dmel_CG2528
K02889	dme:Dmel_CG12775
K03249	dme:Dmel_CG9769
K00966	dme:Dmel_CG1129
K00626	dme:Dmel_CG9149
K02149	dme:Dmel_CG13167
K00968	dme:Dmel_CG1049
K00968	dme:Dmel_CG18330
K02155	dme:Dmel_CG3161
K02155	dme:Dmel_CG6737
K02155	dme:Dmel_CG9013
K00710	dme:Dmel_CG8182
K03241	dme:Dmel_CG8190
K00966	dme:Dmel_CG8207
K00111	dme:Dmel_CG8256
K01883	dme:Dmel_CG8431
K03255	dme:Dmel_CG8443
K00699	dme:Dmel_CG8652
K00901	dme:Dmel_CG8657
K06053	dme:Dmel_CG3497
K06058	dme:Dmel_CG3929
K07952	dme:Dmel_CG7039
K02154	dme:Dmel_CG30329
K07943	dme:Dmel_CG7435
K03514	dme:Dmel_CG17462
K02126	dme:Dmel_CG34073
K06064	dme:Dmel_CG5460
K07944	dme:Dmel_CG6560
K07942	dme:Dmel_CG6025
K07936	dme:Dmel_CG1404
K07936	dme:Dmel_CG7815
K07941	dme:Dmel_CG8156
K03754	dme:Dmel_CG2677
K03015	dme:Dmel_CG31155
K03845	dme:Dmel_CG4084
K03848	dme:Dmel_CG5091
K03959	dme:Dmel_CG10320
K03957	dme:Dmel_CG18624
K00412	dme:Dmel_CG34090
K00236	dme:Dmel_CG6629
K03961	dme:Dmel_CG9762
K03963	dme:Dmel_CG5548
K03964	dme:Dmel_CG3192
K03965	dme:Dmel_CG9306
K02367	dme:Dmel_CG8433
K04669	dme:Dmel_CG1838
K03880	dme:Dmel_CG34076
K03878	dme:Dmel_CG34092
K03884	dme:Dmel_CG34089
K03882	dme:Dmel_CG34086
K03883	dme:Dmel_CG34083
K03879	dme:Dmel_CG34063
K03881	dme:Dmel_CG34085
K04669	dme:Dmel_CG16987
K04512	dme:Dmel_CG14622
K14009	dme:Dmel_CG13887
K04345	dme:Dmel_CG4379
K04370	dme:Dmel_CG5110
K04165	dme:Dmel_CG3856
K03662	dme:Dmel_CG8029
K00413	dme:Dmel_CG14508
K00413	dme:Dmel_CG4769
K00417	dme:Dmel_CG17856
K00417	dme:Dmel_CG3560
K00419	dme:Dmel_CG8764
K00420	dme:Dmel_CG14482
K04393	dme:Dmel_CG12530
K03936	dme:Dmel_CG12079
K03940	dme:Dmel_CG9172
K03940	dme:Dmel_CG2014
K03937	dme:Dmel_CG12203
K00234	dme:Dmel_CG17246
K00235	dme:Dmel_CG3283
K00235	dme:Dmel_CG7349
K03939	dme:Dmel_CG8680
K03941	dme:Dmel_CG3944
K03942	dme:Dmel_CG9140
K03943	dme:Dmel_CG5703
K03934	dme:Dmel_CG2286
K03935	dme:Dmel_CG1970
K04554	dme:Dmel_CG5823
K14005	dme:Dmel_CG8266
K04364	dme:Dmel_CG6033
K04443	dme:Dmel_CG3086
K03781	dme:Dmel_CG6871
K10755	dme:Dmel_CG8142
K06093	dme:Dmel_CG5884
K03364	dme:Dmel_CG16783
K04630	dme:Dmel_CG10060
K04534	dme:Dmel_CG2204
K04427	dme:Dmel_CG18492
K03068	dme:Dmel_CG5912
K02105	dme:Dmel_CG11579
K04460	dme:Dmel_CG8402
K03849	dme:Dmel_CG4542
K03847	dme:Dmel_CG8412
K05313	dme:Dmel_CG6992
K04368	dme:Dmel_CG15793
K04453	dme:Dmel_CG9648
K04623	dme:Dmel_CG8285
K04514	dme:Dmel_CG9774
K03952	dme:Dmel_CG3683
K03953	dme:Dmel_CG6020
K03954	dme:Dmel_CG6343
K03956	dme:Dmel_CG9350
K04662	dme:Dmel_CG9885
K05236	dme:Dmel_CG7961
K05208	dme:Dmel_CG2902
K04646	dme:Dmel_CG9012
K03250	dme:Dmel_CG9677
K02969	dme:Dmel_CG15693
K04431	dme:Dmel_CG4353
K04440	dme:Dmel_CG5680
K04441	dme:Dmel_CG7393
K04441	dme:Dmel_CG5475
K04599	dme:Dmel_CG6530
K04599	dme:Dmel_CG17795
K04599	dme:Dmel_CG4521
K04599	dme:Dmel_CG6536
K04599	dme:Dmel_CG6965
K03873	dme:Dmel_CG4204
K04510	dme:Dmel_CG8075
K04703	dme:Dmel_CG10155
K08675	dme:Dmel_CG8798
K00445	dme:Dmel_CG4969
K04555	dme:Dmel_CG4443
K03094	dme:Dmel_CG16983
K05749	dme:Dmel_CG4931
K04565	dme:Dmel_CG11793
K04430	dme:Dmel_CG9738
K14004	dme:Dmel_CG6773
K02085	dme:Dmel_CG1451
K04497	dme:Dmel_CG8384
K10756	dme:Dmel_CG5313
K06265	dme:Dmel_CG18250
K06271	dme:Dmel_CG6831
K06272	dme:Dmel_CG10504
K06269	dme:Dmel_CG2096
K06269	dme:Dmel_CG5650
K06269	dme:Dmel_CG6593
K06269	dme:Dmel_CG9156
K06275	dme:Dmel_CG32528
K04382	dme:Dmel_CG7109
K07562	dme:Dmel_CG3460
K04498	dme:Dmel_CG15319
K04705	dme:Dmel_CG6521
K04657	dme:Dmel_CG9224
K04681	dme:Dmel_CG7413
K03868	dme:Dmel_CG16982
K04679	dme:Dmel_CG15667
K04678	dme:Dmel_CG4943
K04447	dme:Dmel_CG1594
K04615	dme:Dmel_CG15274
K03506	dme:Dmel_CG11301
K01487	dme:Dmel_CG18143
K02930	dme:Dmel_CG5502
K03028	dme:Dmel_CG7762
K04077	dme:Dmel_CG12101
K03661	dme:Dmel_CG7007
K03960	dme:Dmel_CG12859
K03966	dme:Dmel_CG8844
K03968	dme:Dmel_CG12400
K03951	dme:Dmel_CG3621
K03951	dme:Dmel_CG6914
K05770	dme:Dmel_CG2789
K02268	dme:Dmel_CG31644
K14016	dme:Dmel_CG6233
K00889	dme:Dmel_CG9985
K03213	dme:Dmel_CG11614
K04507	dme:Dmel_CG3226
K14015	dme:Dmel_CG4673
K03949	dme:Dmel_CG6463
K03950	dme:Dmel_CG7712
K03938	dme:Dmel_CG11455
K05313	dme:Dmel_CG18039
K00586	dme:Dmel_CG31289
K01357	dme:Dmel_CG4971
K04739	dme:Dmel_CG15862
K05313	dme:Dmel_CG31201
K04984	dme:Dmel_CG5751
K04986	dme:Dmel_CG6504
K06066	dme:Dmel_CG6843
K04677	dme:Dmel_CG5201
K05037	dme:Dmel_CG4545
K05119	dme:Dmel_CG8250
K06174	dme:Dmel_CG5651
K04348	dme:Dmel_CG1455
K04508	dme:Dmel_CG4063
K04348	dme:Dmel_CG9842
K03946	dme:Dmel_CG15434
K07933	dme:Dmel_CG4789
K19970	dme:Dmel_CG30104
K19970	dme:Dmel_CG30103
K19970	dme:Dmel_CG4827
K09650	dme:Dmel_CG8972
K08291	dme:Dmel_CG17998
K07917	dme:Dmel_CG9100
K07918	dme:Dmel_CG8024
K05727	dme:Dmel_CG31048
K05730	dme:Dmel_CG7893
K05752	dme:Dmel_CG30173
K00416	dme:Dmel_CG30354
K05755	dme:Dmel_CG5972
K05756	dme:Dmel_CG8936
K06184	dme:Dmel_CG1703
K06185	dme:Dmel_CG9281
K09645	dme:Dmel_CG4572
K09613	dme:Dmel_CG14884
K09614	dme:Dmel_CG2105
K05758	dme:Dmel_CG10954
K05757	dme:Dmel_CG8978
K05754	dme:Dmel_CG9881
K05700	dme:Dmel_CG3299
K09648	dme:Dmel_CG11110
K06515	dme:Dmel_CG1311
K05313	dme:Dmel_CG4226
K05313	dme:Dmel_CG15627
K05313	dme:Dmel_CG32704
K05858	dme:Dmel_CG4574
K06999	dme:Dmel_CG6567
K00710	dme:Dmel_CG31651
K03539	dme:Dmel_CG11606
K01192	dme:Dmel_CG12582
K03123	dme:Dmel_CG5163
K05750	dme:Dmel_CG5837
K01251	dme:Dmel_CG9977
K01598	dme:Dmel_CG30290
K01555	dme:Dmel_CG14993
K03236	dme:Dmel_CG8053
K04577	dme:Dmel_CG32843
K06225	dme:Dmel_CG2411
K06226	dme:Dmel_CG11561
K06227	dme:Dmel_CG1708
K06229	dme:Dmel_CG6054
K06234	dme:Dmel_CG2108
K03362	dme:Dmel_CG3412
K03871	dme:Dmel_CG13221
K03870	dme:Dmel_CG1512
K06106	dme:Dmel_CG3637
K06110	dme:Dmel_CG5341
K01110	dme:Dmel_CG5671
K06127	dme:Dmel_CG2453
K06134	dme:Dmel_CG14437
K05702	dme:Dmel_CG42312
K06125	dme:Dmel_CG9613
K06126	dme:Dmel_CG7277
K06237	dme:Dmel_CG4145
K03115	dme:Dmel_CG13591
K03115	dme:Dmel_CG8914
K06069	dme:Dmel_CG42783
K05691	dme:Dmel_CG17947
K01783	dme:Dmel_CG30499
K02366	dme:Dmel_CG10117
K05127	dme:Dmel_CG8967
K10728	dme:Dmel_CG11156
K10730	dme:Dmel_CG7487
K10732	dme:Dmel_CG9187
K06532	dme:Dmel_CG7740
K06704	dme:Dmel_CG1964
K04802	dme:Dmel_CG9193
K06030	dme:Dmel_CG3869
K03347	dme:Dmel_CG1877
K05925	dme:Dmel_CG5933
K01969	dme:Dmel_CG3267
K02542	dme:Dmel_CG4039
K03355	dme:Dmel_CG2508
K06688	dme:Dmel_CG10682
K10870	dme:Dmel_CG31069
K03679	dme:Dmel_CG3931
K05545	dme:Dmel_CG10495
K00472	dme:Dmel_CG31022
K03357	dme:Dmel_CG11419
K03178	dme:Dmel_CG1782
K06971	dme:Dmel_CG8607
K04712	dme:Dmel_CG9078
K10750	dme:Dmel_CG12109
K10752	dme:Dmel_CG4236
K02208	dme:Dmel_CG10572
K10751	dme:Dmel_CG12892
K10753	dme:Dmel_CG9383
K03350	dme:Dmel_CG8610
K01869	dme:Dmel_CG33123
K00710	dme:Dmel_CG7480
K00799	dme:Dmel_CG1742
K03103	dme:Dmel_CG4317
K02210	dme:Dmel_CG4978
K06961	dme:Dmel_CG4258
K06963	dme:Dmel_CG15014
K06965	dme:Dmel_CG3959
K00228	dme:Dmel_CG3433
K01446	dme:Dmel_CG11709
K02202	dme:Dmel_CG3319
K05544	dme:Dmel_CG10463
K01158	dme:Dmel_CG7780
K07759	dme:Dmel_CG2864
K01796	dme:Dmel_CG9319
K04564	dme:Dmel_CG8905
K04794	dme:Dmel_CG1307
K01512	dme:Dmel_CG18505
K02537	dme:Dmel_CG17498
K03681	dme:Dmel_CG31938
K02606	dme:Dmel_CG2917
K02212	dme:Dmel_CG1616
K01082	dme:Dmel_CG7789
