	dme	ncbi	ko	pathway	pathname
87	Dmel_CG10060	NP_477502	K04630	map04071	Sphingolipid signaling pathway
88	Dmel_CG10060	NP_477502	K04630	map04113	Meiosis - yeast
89	Dmel_CG10060	NP_477502	K04630	map04261	Adrenergic signaling in cardiomyocytes
90	Dmel_CG10060	NP_477502	K04630	map04360	Axon guidance
91	Dmel_CG10060	NP_477502	K04630	map04371	Apelin signaling pathway
92	Dmel_CG10060	NP_477502	K04630	map04540	Gap junction
93	Dmel_CG10060	NP_477502	K04630	map04611	Platelet activation
94	Dmel_CG10060	NP_477502	K04630	map04670	Leukocyte transendothelial migration
95	Dmel_CG10060	NP_477502	K04630	map04713	Circadian entrainment
96	Dmel_CG10060	NP_477502	K04630	map04723	Retrograde endocannabinoid signaling
97	Dmel_CG10060	NP_477502	K04630	map04724	Glutamatergic synapse
98	Dmel_CG10060	NP_477502	K04630	map04725	Cholinergic synapse
99	Dmel_CG10060	NP_477502	K04630	map04726	Serotonergic synapse
100	Dmel_CG10060	NP_477502	K04630	map04727	GABAergic synapse
101	Dmel_CG10060	NP_477502	K04630	map04728	Dopaminergic synapse
102	Dmel_CG10060	NP_477502	K04630	map04730	Long-term depression
103	Dmel_CG10060	NP_477502	K04630	map04914	Progesterone-mediated oocyte maturation
104	Dmel_CG10060	NP_477502	K04630	map04915	Estrogen signaling pathway
105	Dmel_CG10060	NP_477502	K04630	map04916	Melanogenesis
106	Dmel_CG10060	NP_477502	K04630	map04921	Oxytocin signaling pathway
107	Dmel_CG10060	NP_477502	K04630	map04923	Regulation of lipolysis in adipocytes
108	Dmel_CG10060	NP_477502	K04630	map04924	Renin secretion
109	Dmel_CG10060	NP_477502	K04630	map04926	Relaxin signaling pathway
110	Dmel_CG10060	NP_477502	K04630	map04928	Parathyroid hormone synthesis, secretion and action
111	Dmel_CG10060	NP_477502	K04630	map04934	Cushing syndrome
112	Dmel_CG10060	NP_477502	K04630	map04935	Growth hormone synthesis, secretion and action
113	Dmel_CG10060	NP_477502	K04630	map04971	Gastric acid secretion
114	Dmel_CG10060	NP_477502	K04630	map05012	Parkinson disease
115	Dmel_CG10060	NP_477502	K04630	map05030	Cocaine addiction
116	Dmel_CG10060	NP_477502	K04630	map05032	Morphine addiction
117	Dmel_CG10060	NP_477502	K04630	map05034	Alcoholism
118	Dmel_CG10060	NP_477502	K04630	map05133	Pertussis
119	Dmel_CG10060	NP_477502	K04630	map05142	Chagas disease
120	Dmel_CG10060	NP_477502	K04630	map05145	Toxoplasmosis
121	Dmel_CG10060	NP_477502	K04630	map05163	Human cytomegalovirus infection
122	Dmel_CG10060	NP_477502	K04630	map05170	Human immunodeficiency virus 1 infection
123	Dmel_CG10060	NP_477502	K04630	map05200	Pathways in cancer
124	Dmel_CG10060	NP_477502	K04630	map05207	Chemical carcinogenesis - receptor activation
125	Dmel_CG10061	NP_649701	K11502		
126	Dmel_CG10062	NP_001163202			
127	Dmel_CG10063	NP_648068			
128	Dmel_CG10064	NP_648065	K24728		
129	Dmel_CG10067	NP_523800	K05692	map03082	ATP-dependent chromatin remodeling
130	Dmel_CG10067	NP_523800	K05692	map04015	Rap1 signaling pathway
131	Dmel_CG10067	NP_523800	K05692	map04145	Phagosome
132	Dmel_CG10067	NP_523800	K05692	map04210	Apoptosis
133	Dmel_CG10067	NP_523800	K05692	map04390	Hippo signaling pathway
134	Dmel_CG10067	NP_523800	K05692	map04391	Hippo signaling pathway - fly
135	Dmel_CG10067	NP_523800	K05692	map04510	Focal adhesion
136	Dmel_CG10067	NP_523800	K05692	map04520	Adherens junction
137	Dmel_CG10067	NP_523800	K05692	map04530	Tight junction
138	Dmel_CG10067	NP_523800	K05692	map04611	Platelet activation
139	Dmel_CG10067	NP_523800	K05692	map04613	Neutrophil extracellular trap formation
140	Dmel_CG10067	NP_523800	K05692	map04670	Leukocyte transendothelial migration
141	Dmel_CG10067	NP_523800	K05692	map04714	Thermogenesis
142	Dmel_CG10067	NP_523800	K05692	map04745	Phototransduction - fly
143	Dmel_CG10067	NP_523800	K05692	map04810	Regulation of actin cytoskeleton
144	Dmel_CG10067	NP_523800	K05692	map04814	Motor proteins
145	Dmel_CG10067	NP_523800	K05692	map04820	Cytoskeleton in muscle cells
146	Dmel_CG10067	NP_523800	K05692	map04919	Thyroid hormone signaling pathway
147	Dmel_CG10067	NP_523800	K05692	map04921	Oxytocin signaling pathway
148	Dmel_CG10067	NP_523800	K05692	map04971	Gastric acid secretion
149	Dmel_CG10067	NP_523800	K05692	map05014	Amyotrophic lateral sclerosis
150	Dmel_CG10067	NP_523800	K05692	map05100	Bacterial invasion of epithelial cells
151	Dmel_CG10067	NP_523800	K05692	map05110	Vibrio cholerae infection
152	Dmel_CG10067	NP_523800	K05692	map05130	Pathogenic Escherichia coli infection
153	Dmel_CG10067	NP_523800	K05692	map05131	Shigellosis
154	Dmel_CG10067	NP_523800	K05692	map05132	Salmonella infection
155	Dmel_CG10067	NP_523800	K05692	map05135	Yersinia infection
156	Dmel_CG10067	NP_523800	K05692	map05164	Influenza A
157	Dmel_CG10067	NP_523800	K05692	map05205	Proteoglycans in cancer
158	Dmel_CG10067	NP_523800	K05692	map05225	Hepatocellular carcinoma
159	Dmel_CG10067	NP_523800	K05692	map05410	Hypertrophic cardiomyopathy
160	Dmel_CG10067	NP_523800	K05692	map05412	Arrhythmogenic right ventricular cardiomyopathy
161	Dmel_CG10067	NP_523800	K05692	map05414	Dilated cardiomyopathy
162	Dmel_CG10067	NP_523800	K05692	map05416	Viral myocarditis
163	Dmel_CG10067	NP_523800	K05692	map05418	Fluid shear stress and atherosclerosis
164	Dmel_CG10068	NP_649695	K23538		
165	Dmel_CG10069	NP_001286671	K13783		
166	Dmel_CG1007	NP_523876	K17696	map04350	TGF-beta signaling pathway
167	Dmel_CG10071	NP_477203	K02905	map03010	Ribosome
168	Dmel_CG10071	NP_477203	K02905	map05171	Coronavirus disease - COVID-19
169	Dmel_CG10072	NP_476980	K00012	map00040	Pentose and glucuronate interconversions
170	Dmel_CG10072	NP_476980	K00012	map00053	Ascorbate and aldarate metabolism
171	Dmel_CG10072	NP_476980	K00012	map00520	Amino sugar and nucleotide sugar metabolism
172	Dmel_CG10072	NP_476980	K00012	map00541	O-Antigen nucleotide sugar biosynthesis
173	Dmel_CG10072	NP_476980	K00012	map01100	
174	Dmel_CG10072	NP_476980	K00012	map01240	Biosynthesis of cofactors
175	Dmel_CG10072	NP_476980	K00012	map01250	Biosynthesis of nucleotide sugars
176	Dmel_CG10073	NP_001261090			
177	Dmel_CG10075	NP_648064	K17662		
178	Dmel_CG10076	NP_724254	K02098	map04320	Dorso-ventral axis formation
179	Dmel_CG10077	NP_001261491	K12823	map03040	Spliceosome
180	Dmel_CG10077	NP_001261491	K12823	map05202	Transcriptional misregulation in cancer
181	Dmel_CG10077	NP_001261491	K12823	map05205	Proteoglycans in cancer
182	Dmel_CG10078	NP_523949	K00764	map00230	Purine metabolism
183	Dmel_CG10078	NP_523949	K00764	map00250	Alanine, aspartate and glutamate metabolism
184	Dmel_CG10078	NP_523949	K00764	map01100	
185	Dmel_CG10078	NP_523949	K00764	map01110	Biosynthesis of secondary metabolites
186	Dmel_CG10079	NP_476759	K04361	map01521	EGFR tyrosine kinase inhibitor resistance
187	Dmel_CG10079	NP_476759	K04361	map01522	Endocrine resistance
188	Dmel_CG10079	NP_476759	K04361	map03272	Virion - Hepatitis viruses
189	Dmel_CG10079	NP_476759	K04361	map04010	MAPK signaling pathway
190	Dmel_CG10079	NP_476759	K04361	map04012	ErbB signaling pathway
191	Dmel_CG10079	NP_476759	K04361	map04013	MAPK signaling pathway - fly
192	Dmel_CG10079	NP_476759	K04361	map04014	Ras signaling pathway
193	Dmel_CG10079	NP_476759	K04361	map04015	Rap1 signaling pathway
194	Dmel_CG10079	NP_476759	K04361	map04020	Calcium signaling pathway
195	Dmel_CG10079	NP_476759	K04361	map04066	HIF-1 signaling pathway
196	Dmel_CG10079	NP_476759	K04361	map04068	FoxO signaling pathway
197	Dmel_CG10079	NP_476759	K04361	map04072	Phospholipase D signaling pathway
198	Dmel_CG10079	NP_476759	K04361	map04144	Endocytosis
199	Dmel_CG10079	NP_476759	K04361	map04151	PI3K-Akt signaling pathway
200	Dmel_CG10079	NP_476759	K04361	map04214	Apoptosis - fly
201	Dmel_CG10079	NP_476759	K04361	map04320	Dorso-ventral axis formation
202	Dmel_CG10079	NP_476759	K04361	map04510	Focal adhesion
203	Dmel_CG10079	NP_476759	K04361	map04520	Adherens junction
204	Dmel_CG10079	NP_476759	K04361	map04540	Gap junction
205	Dmel_CG10079	NP_476759	K04361	map04630	JAK-STAT signaling pathway
206	Dmel_CG10079	NP_476759	K04361	map04810	Regulation of actin cytoskeleton
207	Dmel_CG10079	NP_476759	K04361	map04912	GnRH signaling pathway
208	Dmel_CG10079	NP_476759	K04361	map04915	Estrogen signaling pathway
209	Dmel_CG10079	NP_476759	K04361	map04921	Oxytocin signaling pathway
210	Dmel_CG10079	NP_476759	K04361	map04926	Relaxin signaling pathway
211	Dmel_CG10079	NP_476759	K04361	map04928	Parathyroid hormone synthesis, secretion and action
212	Dmel_CG10079	NP_476759	K04361	map04934	Cushing syndrome
213	Dmel_CG10079	NP_476759	K04361	map05120	Epithelial cell signaling in Helicobacter pylori infection
214	Dmel_CG10079	NP_476759	K04361	map05131	Shigellosis
215	Dmel_CG10079	NP_476759	K04361	map05160	Hepatitis C
216	Dmel_CG10079	NP_476759	K04361	map05163	Human cytomegalovirus infection
217	Dmel_CG10079	NP_476759	K04361	map05165	Human papillomavirus infection
218	Dmel_CG10079	NP_476759	K04361	map05171	Coronavirus disease - COVID-19
219	Dmel_CG10079	NP_476759	K04361	map05200	Pathways in cancer
220	Dmel_CG10079	NP_476759	K04361	map05205	Proteoglycans in cancer
221	Dmel_CG10079	NP_476759	K04361	map05206	MicroRNAs in cancer
222	Dmel_CG10079	NP_476759	K04361	map05207	Chemical carcinogenesis - receptor activation
223	Dmel_CG10079	NP_476759	K04361	map05208	Chemical carcinogenesis - reactive oxygen species
224	Dmel_CG10079	NP_476759	K04361	map05210	Colorectal cancer
225	Dmel_CG10079	NP_476759	K04361	map05212	Pancreatic cancer
226	Dmel_CG10079	NP_476759	K04361	map05213	Endometrial cancer
227	Dmel_CG10079	NP_476759	K04361	map05214	Glioma
228	Dmel_CG10079	NP_476759	K04361	map05215	Prostate cancer
229	Dmel_CG10079	NP_476759	K04361	map05218	Melanoma
230	Dmel_CG10079	NP_476759	K04361	map05219	Bladder cancer
231	Dmel_CG10079	NP_476759	K04361	map05223	Non-small cell lung cancer
232	Dmel_CG10079	NP_476759	K04361	map05224	Breast cancer
233	Dmel_CG10079	NP_476759	K04361	map05225	Hepatocellular carcinoma
234	Dmel_CG10079	NP_476759	K04361	map05226	Gastric cancer
235	Dmel_CG10079	NP_476759	K04361	map05230	Central carbon metabolism in cancer
236	Dmel_CG10079	NP_476759	K04361	map05231	Choline metabolism in cancer
237	Dmel_CG10079	NP_476759	K04361	map05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
238	Dmel_CG10080	NP_001246451	K11789	map05170	Human immunodeficiency virus 1 infection
239	Dmel_CG10081	NP_001261091			
240	Dmel_CG10082	NP_611595	K07756	map04070	Phosphatidylinositol signaling system
241	Dmel_CG10082	NP_611595	K07756	map04138	Autophagy - yeast
242	Dmel_CG10083	NP_648657	K20520		
243	Dmel_CG10084	NP_609976	K13192		
244	Dmel_CG10086	NP_649736			
245	Dmel_CG10089	NP_001261803	K14165		
246	Dmel_CG1009	NP_001246546	K08776		
247	Dmel_CG10090	NP_001287301	K17795		
248	Dmel_CG10091	NP_001287303	K00799	map00480	Glutathione metabolism
249	Dmel_CG10091	NP_001287303	K00799	map00980	Metabolism of xenobiotics by cytochrome P450
250	Dmel_CG10091	NP_001287303	K00799	map00982	Drug metabolism - cytochrome P450
251	Dmel_CG10091	NP_001287303	K00799	map00983	Drug metabolism - other enzymes
252	Dmel_CG10091	NP_001287303	K00799	map01100	
253	Dmel_CG10091	NP_001287303	K00799	map01524	Platinum drug resistance
254	Dmel_CG10091	NP_001287303	K00799	map04212	Longevity regulating pathway - worm
255	Dmel_CG10091	NP_001287303	K00799	map05200	Pathways in cancer
256	Dmel_CG10091	NP_001287303	K00799	map05204	Chemical carcinogenesis - DNA adducts
257	Dmel_CG10091	NP_001287303	K00799	map05207	Chemical carcinogenesis - receptor activation
258	Dmel_CG10091	NP_001287303	K00799	map05208	Chemical carcinogenesis - reactive oxygen species
259	Dmel_CG10091	NP_001287303	K00799	map05225	Hepatocellular carcinoma
260	Dmel_CG10091	NP_001287303	K00799	map05418	Fluid shear stress and atherosclerosis
261	Dmel_CG10092	NP_001262351	K01887	map00970	Aminoacyl-tRNA biosynthesis
262	Dmel_CG10093	NP_650170	K15007		
263	Dmel_CG10094	NP_650169	K15007		
264	Dmel_CG10095	NP_001287299			
265	Dmel_CG10096	NP_001027183	K13356	map00073	Cutin, suberine and wax biosynthesis
266	Dmel_CG10096	NP_001027183	K13356	map01110	Biosynthesis of secondary metabolites
267	Dmel_CG10096	NP_001027183	K13356	map04146	Peroxisome
268	Dmel_CG10096	NP_001027183	K13356	map04212	Longevity regulating pathway - worm
269	Dmel_CG10097	NP_001027182	K13356	map00073	Cutin, suberine and wax biosynthesis
270	Dmel_CG10097	NP_001027182	K13356	map01110	Biosynthesis of secondary metabolites
271	Dmel_CG10097	NP_001027182	K13356	map04146	Peroxisome
272	Dmel_CG10097	NP_001027182	K13356	map04212	Longevity regulating pathway - worm
273	Dmel_CG10098	NP_649694	K14358		
274	Dmel_CG10101	NP_649720	K05313		
275	Dmel_CG10103	NP_001261483	K19476	map03272	Virion - Hepatitis viruses
276	Dmel_CG10103	NP_001261483	K19476	map04144	Endocytosis
277	Dmel_CG10104	NP_610961	K01379	map04071	Sphingolipid signaling pathway
278	Dmel_CG10104	NP_610961	K01379	map04140	Autophagy - animal
279	Dmel_CG10104	NP_610961	K01379	map04142	Lysosome
280	Dmel_CG10104	NP_610961	K01379	map04210	Apoptosis
281	Dmel_CG10104	NP_610961	K01379	map04915	Estrogen signaling pathway
282	Dmel_CG10104	NP_610961	K01379	map05152	Tuberculosis
283	Dmel_CG10104	NP_610961	K01379	map05415	Diabetic cardiomyopathy
284	Dmel_CG10105	NP_610963	K20410	map04150	mTOR signaling pathway
285	Dmel_CG10106	NP_001260753	K06497	map03272	Virion - Hepatitis viruses
286	Dmel_CG10106	NP_001260753	K06497	map04142	Lysosome
287	Dmel_CG10106	NP_001260753	K06497	map05205	Proteoglycans in cancer
288	Dmel_CG10107	NP_001286956	K08596		
289	Dmel_CG10108	NP_725394	K20233	map04013	MAPK signaling pathway - fly
290	Dmel_CG10110	NP_995833	K14401	map03015	mRNA surveillance pathway
291	Dmel_CG10112	NP_610968			
292	Dmel_CG10113	NP_649721	K24254		
293	Dmel_CG10116	NP_648652			
294	Dmel_CG10117	NP_001260971	K02366	map00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
295	Dmel_CG10117	NP_001260971	K02366	map01100	
296	Dmel_CG10118	NP_001286955	K00501	map00350	Tyrosine metabolism
297	Dmel_CG10118	NP_001286955	K00501	map00790	Folate biosynthesis
298	Dmel_CG10118	NP_001286955	K00501	map00950	Isoquinoline alkaloid biosynthesis
299	Dmel_CG10118	NP_001286955	K00501	map01100	
300	Dmel_CG10118	NP_001286955	K00501	map01110	Biosynthesis of secondary metabolites
301	Dmel_CG10118	NP_001286955	K00501	map04728	Dopaminergic synapse
302	Dmel_CG10118	NP_001286955	K00501	map04917	Prolactin signaling pathway
303	Dmel_CG10118	NP_001286955	K00501	map05012	Parkinson disease
304	Dmel_CG10118	NP_001286955	K00501	map05030	Cocaine addiction
305	Dmel_CG10118	NP_001286955	K00501	map05031	Amphetamine addiction
306	Dmel_CG10118	NP_001286955	K00501	map05034	Alcoholism
307	Dmel_CG10119	NP_523742	K07611	map04210	Apoptosis
308	Dmel_CG10119	NP_523742	K07611	map04214	Apoptosis - fly
309	Dmel_CG10119	NP_523742	K07611	map04820	Cytoskeleton in muscle cells
310	Dmel_CG10120	NP_001262509	K00029	map00620	Pyruvate metabolism
311	Dmel_CG10120	NP_001262509	K00029	map00710	Carbon fixation by Calvin cycle
312	Dmel_CG10120	NP_001262509	K00029	map01100	
313	Dmel_CG10120	NP_001262509	K00029	map01120	Microbial metabolism in diverse environments
314	Dmel_CG10120	NP_001262509	K00029	map01200	Carbon metabolism
315	Dmel_CG10120	NP_001262509	K00029	map03320	PPAR signaling pathway
316	Dmel_CG10121	NP_648053			
317	Dmel_CG10122	NP_523743	K02999	map03020	RNA polymerase
318	Dmel_CG10123	NP_523602	K03165	map03440	Homologous recombination
319	Dmel_CG10123	NP_523602	K03165	map03460	Fanconi anemia pathway
320	Dmel_CG10124	NP_648052	K03259	map01521	EGFR tyrosine kinase inhibitor resistance
321	Dmel_CG10124	NP_648052	K03259	map04066	HIF-1 signaling pathway
322	Dmel_CG10124	NP_648052	K03259	map04150	mTOR signaling pathway
323	Dmel_CG10124	NP_648052	K03259	map04151	PI3K-Akt signaling pathway
324	Dmel_CG10124	NP_648052	K03259	map04211	Longevity regulating pathway
325	Dmel_CG10124	NP_648052	K03259	map04910	Insulin signaling pathway
326	Dmel_CG10125	NP_001261478	K22037		
327	Dmel_CG10126	NP_650234	K23909		
328	Dmel_CG10128	NP_476764	K12897	map03040	Spliceosome
329	Dmel_CG10128	NP_476764	K12897	map04936	Alcoholic liver disease
330	Dmel_CG10129	NP_523947			
331	Dmel_CG10130	NP_652037	K09481	map03060	Protein export
332	Dmel_CG10130	NP_652037	K09481	map04141	Protein processing in endoplasmic reticulum
333	Dmel_CG10130	NP_652037	K09481	map04145	Phagosome
334	Dmel_CG10130	NP_652037	K09481	map05110	Vibrio cholerae infection
335	Dmel_CG10131	NP_610974	K13247	map00040	Pentose and glucuronate interconversions
336	Dmel_CG10131	NP_610974	K13247	map01100	
337	Dmel_CG10132	NP_001286085			
338	Dmel_CG10133	NP_648651	K19219		
339	Dmel_CG10134	NP_001189214			
340	Dmel_CG10137	NP_609981	K16458		
341	Dmel_CG10138	NP_524707	K06269	map03015	mRNA surveillance pathway
342	Dmel_CG10138	NP_524707	K06269	map04022	cGMP-PKG signaling pathway
343	Dmel_CG10138	NP_524707	K06269	map04024	cAMP signaling pathway
344	Dmel_CG10138	NP_524707	K06269	map04113	Meiosis - yeast
345	Dmel_CG10138	NP_524707	K06269	map04114	Oocyte meiosis
346	Dmel_CG10138	NP_524707	K06269	map04218	Cellular senescence
347	Dmel_CG10138	NP_524707	K06269	map04261	Adrenergic signaling in cardiomyocytes
348	Dmel_CG10138	NP_524707	K06269	map04270	Vascular smooth muscle contraction
349	Dmel_CG10138	NP_524707	K06269	map04390	Hippo signaling pathway
350	Dmel_CG10138	NP_524707	K06269	map04510	Focal adhesion
351	Dmel_CG10138	NP_524707	K06269	map04611	Platelet activation
352	Dmel_CG10138	NP_524707	K06269	map04720	Long-term potentiation
353	Dmel_CG10138	NP_524707	K06269	map04728	Dopaminergic synapse
354	Dmel_CG10138	NP_524707	K06269	map04750	Inflammatory mediator regulation of TRP channels
355	Dmel_CG10138	NP_524707	K06269	map04810	Regulation of actin cytoskeleton
356	Dmel_CG10138	NP_524707	K06269	map04910	Insulin signaling pathway
357	Dmel_CG10138	NP_524707	K06269	map04921	Oxytocin signaling pathway
358	Dmel_CG10138	NP_524707	K06269	map04931	Insulin resistance
359	Dmel_CG10138	NP_524707	K06269	map05031	Amphetamine addiction
360	Dmel_CG10138	NP_524707	K06269	map05034	Alcoholism
361	Dmel_CG10138	NP_524707	K06269	map05168	Herpes simplex virus 1 infection
362	Dmel_CG10138	NP_524707	K06269	map05205	Proteoglycans in cancer
363	Dmel_CG10138	NP_524707	K06269	map05415	Diabetic cardiomyopathy
364	Dmel_CG10139	NP_001286424			
365	Dmel_CG1014	NP_001261256	K10419	map04814	Motor proteins
366	Dmel_CG1014	NP_001261256	K10419	map05132	Salmonella infection
367	Dmel_CG10140	NP_648648			
368	Dmel_CG10142	NP_573392	K01283	map04614	Renin-angiotensin system
369	Dmel_CG10142	NP_573392	K01283	map04924	Renin secretion
370	Dmel_CG10142	NP_573392	K01283	map05142	Chagas disease
371	Dmel_CG10142	NP_573392	K01283	map05171	Coronavirus disease - COVID-19
372	Dmel_CG10142	NP_573392	K01283	map05410	Hypertrophic cardiomyopathy
373	Dmel_CG10142	NP_573392	K01283	map05415	Diabetic cardiomyopathy
374	Dmel_CG10143	NP_610977	K19572	map00230	Purine metabolism
375	Dmel_CG10143	NP_610977	K19572	map01100	
376	Dmel_CG10143	NP_610977	K19572	map01232	Nucleotide metabolism
377	Dmel_CG10144	NP_648048	K20178	map04138	Autophagy - yeast
378	Dmel_CG10144	NP_648048	K20178	map04148	Efferocytosis
379	Dmel_CG10145	NP_001286427	K24428		
380	Dmel_CG10146	NP_523745			
381	Dmel_CG10147	NP_001261477			
382	Dmel_CG10149	NP_001246325	K03036	map03050	Proteasome
383	Dmel_CG10149	NP_001246325	K03036	map05010	Alzheimer disease
384	Dmel_CG10149	NP_001246325	K03036	map05012	Parkinson disease
385	Dmel_CG10149	NP_001246325	K03036	map05014	Amyotrophic lateral sclerosis
386	Dmel_CG10149	NP_001246325	K03036	map05016	Huntington disease
387	Dmel_CG10149	NP_001246325	K03036	map05017	Spinocerebellar ataxia
388	Dmel_CG10149	NP_001246325	K03036	map05020	Prion disease
389	Dmel_CG10149	NP_001246325	K03036	map05022	Pathways of neurodegeneration - multiple diseases
390	Dmel_CG10149	NP_001246325	K03036	map05169	Epstein-Barr virus infection
391	Dmel_CG10151	NP_001137670			
392	Dmel_CG10152	NP_001262876			
393	Dmel_CG10153	NP_610986	K20280		
394	Dmel_CG10154	NP_001189089			
395	Dmel_CG10155	NP_001260978	K04703		
396	Dmel_CG10157	NP_651166	K08059	map04612	Antigen processing and presentation
