	dme	ncbi	ko	dmepathway	dmepathname
76	Dmel_CG10077	NP_001261491	K12823	dme03040	Spliceosome - Drosophila melanogaster (fruit fly)
77	Dmel_CG10078	NP_523949	K00764	dme00230	Purine metabolism - Drosophila melanogaster (fruit fly)
78	Dmel_CG10078	NP_523949	K00764	dme00250	Alanine, aspartate and glutamate metabolism - Drosophila melanogaster (fruit fly)
79	Dmel_CG10078	NP_523949	K00764	dme01100	
80	Dmel_CG10079	NP_476759	K04361	dme03272	Virion - Hepatitis viruses - Drosophila melanogaster (fruit fly)
81	Dmel_CG10079	NP_476759	K04361	dme04013	MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)
82	Dmel_CG10079	NP_476759	K04361	dme04068	FoxO signaling pathway - Drosophila melanogaster (fruit fly)
83	Dmel_CG10079	NP_476759	K04361	dme04144	Endocytosis - Drosophila melanogaster (fruit fly)
84	Dmel_CG10079	NP_476759	K04361	dme04214	Apoptosis - fly - Drosophila melanogaster (fruit fly)
85	Dmel_CG10079	NP_476759	K04361	dme04320	Dorso-ventral axis formation - Drosophila melanogaster (fruit fly)
86	Dmel_CG10079	NP_476759	K04361	dme04510	Focal adhesion - Drosophila melanogaster (fruit fly)
87	Dmel_CG10079	NP_476759	K04361	dme04520	Adherens junction - Drosophila melanogaster (fruit fly)
88	Dmel_CG10079	NP_476759	K04361	dme04540	Gap junction - Drosophila melanogaster (fruit fly)
89	Dmel_CG10079	NP_476759	K04361	dme04810	Regulation of actin cytoskeleton - Drosophila melanogaster (fruit fly)
90	Dmel_CG10079	NP_476759	K04361	dme04912	GnRH signaling pathway - Drosophila melanogaster (fruit fly)
91	Dmel_CG10080	NP_001246451	K11789		
92	Dmel_CG10081	NP_001261091			
93	Dmel_CG10082	NP_611595	K07756	dme04070	Phosphatidylinositol signaling system - Drosophila melanogaster (fruit fly)
94	Dmel_CG10083	NP_648657	K20520		
95	Dmel_CG10084	NP_609976	K13192		
96	Dmel_CG10086	NP_649736			
97	Dmel_CG10089	NP_001261803	K14165		
98	Dmel_CG1009	NP_001246546	K08776		
99	Dmel_CG10090	NP_001287301	K17795		
100	Dmel_CG10091	NP_001287303	K00799	dme00480	Glutathione metabolism - Drosophila melanogaster (fruit fly)
101	Dmel_CG10091	NP_001287303	K00799	dme00980	Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)
102	Dmel_CG10091	NP_001287303	K00799	dme00982	Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)
103	Dmel_CG10091	NP_001287303	K00799	dme00983	Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)
104	Dmel_CG10091	NP_001287303	K00799	dme01100	
105	Dmel_CG10092	NP_001262351	K01887	dme00970	Aminoacyl-tRNA biosynthesis - Drosophila melanogaster (fruit fly)
106	Dmel_CG10093	NP_650170	K15007		
107	Dmel_CG10094	NP_650169	K15007		
108	Dmel_CG10095	NP_001287299			
109	Dmel_CG10096	NP_001027183	K13356	dme04146	Peroxisome - Drosophila melanogaster (fruit fly)
110	Dmel_CG10097	NP_001027182	K13356	dme04146	Peroxisome - Drosophila melanogaster (fruit fly)
111	Dmel_CG10098	NP_649694	K14358		
112	Dmel_CG10101	NP_649720	K05313		
113	Dmel_CG10103	NP_001261483	K19476	dme03272	Virion - Hepatitis viruses - Drosophila melanogaster (fruit fly)
114	Dmel_CG10103	NP_001261483	K19476	dme04144	Endocytosis - Drosophila melanogaster (fruit fly)
115	Dmel_CG10104	NP_610961	K01379	dme04140	Autophagy - animal - Drosophila melanogaster (fruit fly)
116	Dmel_CG10104	NP_610961	K01379	dme04142	Lysosome - Drosophila melanogaster (fruit fly)
117	Dmel_CG10104	NP_610961	K01379	dme04210	Apoptosis - Drosophila melanogaster (fruit fly)
118	Dmel_CG10105	NP_610963	K20410	dme04150	mTOR signaling pathway - Drosophila melanogaster (fruit fly)
119	Dmel_CG10106	NP_001260753	K06497	dme03272	Virion - Hepatitis viruses - Drosophila melanogaster (fruit fly)
120	Dmel_CG10106	NP_001260753	K06497	dme04142	Lysosome - Drosophila melanogaster (fruit fly)
121	Dmel_CG10107	NP_001286956	K08596		
122	Dmel_CG10108	NP_725394	K20233	dme04013	MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)
123	Dmel_CG10110	NP_995833	K14401	dme03015	mRNA surveillance pathway - Drosophila melanogaster (fruit fly)
124	Dmel_CG10112	NP_610968			
125	Dmel_CG10113	NP_649721	K24254		
126	Dmel_CG10116	NP_648652			
127	Dmel_CG10117	NP_001260971	K02366	dme00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Drosophila melanogaster (fruit fly)
128	Dmel_CG10117	NP_001260971	K02366	dme01100	
129	Dmel_CG10118	NP_001286955	K00501	dme00350	Tyrosine metabolism - Drosophila melanogaster (fruit fly)
130	Dmel_CG10118	NP_001286955	K00501	dme00790	Folate biosynthesis - Drosophila melanogaster (fruit fly)
131	Dmel_CG10118	NP_001286955	K00501	dme01100	
132	Dmel_CG10119	NP_523742	K07611	dme04210	Apoptosis - Drosophila melanogaster (fruit fly)
133	Dmel_CG10119	NP_523742	K07611	dme04214	Apoptosis - fly - Drosophila melanogaster (fruit fly)
134	Dmel_CG10119	NP_523742	K07611	dme04820	Cytoskeleton in muscle cells - Drosophila melanogaster (fruit fly)
135	Dmel_CG10120	NP_001262509	K00029	dme00620	Pyruvate metabolism - Drosophila melanogaster (fruit fly)
136	Dmel_CG10120	NP_001262509	K00029	dme01100	
137	Dmel_CG10120	NP_001262509	K00029	dme01200	Carbon metabolism - Drosophila melanogaster (fruit fly)
138	Dmel_CG10120	NP_001262509	K00029	dme03320	PPAR signaling pathway - Drosophila melanogaster (fruit fly)
139	Dmel_CG10121	NP_648053			
140	Dmel_CG10122	NP_523743	K02999	dme03020	RNA polymerase - Drosophila melanogaster (fruit fly)
141	Dmel_CG10123	NP_523602	K03165	dme03440	Homologous recombination - Drosophila melanogaster (fruit fly)
142	Dmel_CG10123	NP_523602	K03165	dme03460	Fanconi anemia pathway - Drosophila melanogaster (fruit fly)
143	Dmel_CG10124	NP_648052	K03259	dme04150	mTOR signaling pathway - Drosophila melanogaster (fruit fly)
144	Dmel_CG10124	NP_648052	K03259	dme04910	Insulin signaling pathway - Drosophila melanogaster (fruit fly)
145	Dmel_CG10125	NP_001261478	K22037		
146	Dmel_CG10126	NP_650234	K23909		
147	Dmel_CG10128	NP_476764	K12897	dme03040	Spliceosome - Drosophila melanogaster (fruit fly)
148	Dmel_CG10129	NP_523947			
149	Dmel_CG10130	NP_652037	K09481	dme03060	Protein export - Drosophila melanogaster (fruit fly)
150	Dmel_CG10130	NP_652037	K09481	dme04141	Protein processing in endoplasmic reticulum - Drosophila melanogaster (fruit fly)
151	Dmel_CG10130	NP_652037	K09481	dme04145	Phagosome - Drosophila melanogaster (fruit fly)
152	Dmel_CG10131	NP_610974	K13247	dme00040	Pentose and glucuronate interconversions - Drosophila melanogaster (fruit fly)
153	Dmel_CG10131	NP_610974	K13247	dme01100	
154	Dmel_CG10132	NP_001286085			
155	Dmel_CG10133	NP_648651	K19219		
156	Dmel_CG10134	NP_001189214			
157	Dmel_CG10137	NP_609981	K16458		
158	Dmel_CG10138	NP_524707	K06269	dme03015	mRNA surveillance pathway - Drosophila melanogaster (fruit fly)
159	Dmel_CG10138	NP_524707	K06269	dme04114	Oocyte meiosis - Drosophila melanogaster (fruit fly)
160	Dmel_CG10138	NP_524707	K06269	dme04218	Cellular senescence - Drosophila melanogaster (fruit fly)
161	Dmel_CG10138	NP_524707	K06269	dme04261	Adrenergic signaling in cardiomyocytes - Drosophila melanogaster (fruit fly)
162	Dmel_CG10138	NP_524707	K06269	dme04270	Vascular smooth muscle contraction - Drosophila melanogaster (fruit fly)
163	Dmel_CG10138	NP_524707	K06269	dme04510	Focal adhesion - Drosophila melanogaster (fruit fly)
164	Dmel_CG10138	NP_524707	K06269	dme04810	Regulation of actin cytoskeleton - Drosophila melanogaster (fruit fly)
165	Dmel_CG10138	NP_524707	K06269	dme04910	Insulin signaling pathway - Drosophila melanogaster (fruit fly)
166	Dmel_CG10138	NP_524707	K06269	dme05168	Herpes simplex virus 1 infection - Drosophila melanogaster (fruit fly)
167	Dmel_CG10139	NP_001286424			
168	Dmel_CG1014	NP_001261256	K10419	dme04814	Motor proteins - Drosophila melanogaster (fruit fly)
169	Dmel_CG10140	NP_648648			
170	Dmel_CG10142	NP_573392	K01283		
171	Dmel_CG10143	NP_610977	K19572	dme00230	Purine metabolism - Drosophila melanogaster (fruit fly)
172	Dmel_CG10143	NP_610977	K19572	dme01100	
173	Dmel_CG10143	NP_610977	K19572	dme01232	Nucleotide metabolism - Drosophila melanogaster (fruit fly)
174	Dmel_CG10144	NP_648048	K20178	dme04148	Efferocytosis - Drosophila melanogaster (fruit fly)
175	Dmel_CG10145	NP_001286427	K24428		
176	Dmel_CG10146	NP_523745			
177	Dmel_CG10147	NP_001261477			
178	Dmel_CG10149	NP_001246325	K03036	dme03050	Proteasome - Drosophila melanogaster (fruit fly)
179	Dmel_CG10151	NP_001137670			
180	Dmel_CG10152	NP_001262876			
181	Dmel_CG10153	NP_610986	K20280		
182	Dmel_CG10154	NP_001189089			
183	Dmel_CG10155	NP_001260978	K04703		
184	Dmel_CG10157	NP_651166	K08059		
185	Dmel_CG10158	NP_001260171			
186	Dmel_CG10159	NP_001246328			
187	Dmel_CG10160	NP_001261474	K00016	dme00270	Cysteine and methionine metabolism - Drosophila melanogaster (fruit fly)
188	Dmel_CG10160	NP_001261474	K00016	dme00620	Pyruvate metabolism - Drosophila melanogaster (fruit fly)
189	Dmel_CG10160	NP_001261474	K00016	dme00640	Propanoate metabolism - Drosophila melanogaster (fruit fly)
190	Dmel_CG10160	NP_001261474	K00016	dme01100	
191	Dmel_CG10161	NP_524463	K03251		
192	Dmel_CG10163	NP_648042			
193	Dmel_CG10164	NP_001163701			
194	Dmel_CG10165	NP_001188850	K08371		
195	Dmel_CG10166	NP_609980	K00721	dme00510	N-Glycan biosynthesis - Drosophila melanogaster (fruit fly)
196	Dmel_CG10166	NP_609980	K00721	dme01100	
197	Dmel_CG10168	NP_651154			
198	Dmel_CG1017	NP_647679	K13110		
199	Dmel_CG10170	NP_651152			
200	Dmel_CG10171	NP_648639			
201	Dmel_CG10173	NP_729159	K22204		
202	Dmel_CG10174	NP_609878			
203	Dmel_CG10175	NP_001287486			
204	Dmel_CG10176	NP_001260538			
205	Dmel_CG10177	NP_651150			
206	Dmel_CG10178	NP_001246079	K00699	dme00040	Pentose and glucuronate interconversions - Drosophila melanogaster (fruit fly)
207	Dmel_CG10178	NP_001246079	K00699	dme00053	Ascorbate and aldarate metabolism - Drosophila melanogaster (fruit fly)
208	Dmel_CG10178	NP_001246079	K00699	dme00140	Steroid hormone biosynthesis - Drosophila melanogaster (fruit fly)
209	Dmel_CG10178	NP_001246079	K00699	dme00830	Retinol metabolism - Drosophila melanogaster (fruit fly)
210	Dmel_CG10178	NP_001246079	K00699	dme00860	Porphyrin metabolism - Drosophila melanogaster (fruit fly)
211	Dmel_CG10178	NP_001246079	K00699	dme00980	Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)
212	Dmel_CG10178	NP_001246079	K00699	dme00982	Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)
213	Dmel_CG10178	NP_001246079	K00699	dme00983	Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)
214	Dmel_CG10178	NP_001246079	K00699	dme01100	
215	Dmel_CG10178	NP_001246079	K00699	dme01240	Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)
216	Dmel_CG10181	NP_476831	K05658	dme02010	ABC transporters - Drosophila melanogaster (fruit fly)
217	Dmel_CG10182	NP_651158			
218	Dmel_CG10183	NP_651160			
219	Dmel_CG10184	NP_651161	K01620	dme00260	Glycine, serine and threonine metabolism - Drosophila melanogaster (fruit fly)
220	Dmel_CG10184	NP_651161	K01620	dme01100	
221	Dmel_CG10184	NP_651161	K01620	dme01230	Biosynthesis of amino acids - Drosophila melanogaster (fruit fly)
222	Dmel_CG10185	NP_650521	K24734		
223	Dmel_CG10186	NP_001137840			
224	Dmel_CG10188	NP_001260588	K21066	dme04530	Tight junction - Drosophila melanogaster (fruit fly)
225	Dmel_CG10189	NP_001260585	K14169	dme04122	Sulfur relay system - Drosophila melanogaster (fruit fly)
226	Dmel_CG1019	NP_001303418	K09377	dme04820	Cytoskeleton in muscle cells - Drosophila melanogaster (fruit fly)
227	Dmel_CG10191	NP_648640	K16482		
228	Dmel_CG10192	NP_001287489			
229	Dmel_CG10194	NP_609973	K13355	dme04146	Peroxisome - Drosophila melanogaster (fruit fly)
230	Dmel_CG10195	NP_001260583	K13355	dme04146	Peroxisome - Drosophila melanogaster (fruit fly)
231	Dmel_CG10197	NP_725419	K09103		
232	Dmel_CG10198	NP_001262885	K14297	dme03013	Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)
233	Dmel_CG10200	NP_610991			
234	Dmel_CG10202	NP_610992	K15779	dme00010	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)
235	Dmel_CG10202	NP_610992	K15779	dme00030	Pentose phosphate pathway - Drosophila melanogaster (fruit fly)
236	Dmel_CG10202	NP_610992	K15779	dme00052	Galactose metabolism - Drosophila melanogaster (fruit fly)
237	Dmel_CG10202	NP_610992	K15779	dme00230	Purine metabolism - Drosophila melanogaster (fruit fly)
238	Dmel_CG10202	NP_610992	K15779	dme00500	Starch and sucrose metabolism - Drosophila melanogaster (fruit fly)
239	Dmel_CG10202	NP_610992	K15779	dme00520	Amino sugar and nucleotide sugar metabolism - Drosophila melanogaster (fruit fly)
240	Dmel_CG10202	NP_610992	K15779	dme01100	
241	Dmel_CG10202	NP_610992	K15779	dme01250	Biosynthesis of nucleotide sugars - Drosophila melanogaster (fruit fly)
242	Dmel_CG10203	NP_723226	K12896	dme03040	Spliceosome - Drosophila melanogaster (fruit fly)
243	Dmel_CG10203	NP_723226	K12896	dme05168	Herpes simplex virus 1 infection - Drosophila melanogaster (fruit fly)
244	Dmel_CG10205	NP_610993			
245	Dmel_CG10206	NP_477412	K14565	dme03008	Ribosome biogenesis in eukaryotes - Drosophila melanogaster (fruit fly)
246	Dmel_CG10207	NP_001260981			
247	Dmel_CG10208	NP_651186			
248	Dmel_CG10209	NP_001260982			
249	Dmel_CG1021	NP_001138015			
250	Dmel_CG10210	NP_001262884	K12599	dme03018	RNA degradation - Drosophila melanogaster (fruit fly)
251	Dmel_CG10211	NP_001286043	K19511		
252	Dmel_CG10212	NP_610995	K06674		
253	Dmel_CG10214	NP_651184	K13288	dme03008	Ribosome biogenesis in eukaryotes - Drosophila melanogaster (fruit fly)
254	Dmel_CG10215	NP_477468	K10849	dme03420	Nucleotide excision repair - Drosophila melanogaster (fruit fly)
255	Dmel_CG10215	NP_477468	K10849	dme03460	Fanconi anemia pathway - Drosophila melanogaster (fruit fly)
256	Dmel_CG10217	NP_651182			
257	Dmel_CG10219	NP_651181	K00237	dme00020	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)
258	Dmel_CG10219	NP_651181	K00237	dme00190	Oxidative phosphorylation - Drosophila melanogaster (fruit fly)
259	Dmel_CG10219	NP_651181	K00237	dme01100	
260	Dmel_CG10219	NP_651181	K00237	dme01200	Carbon metabolism - Drosophila melanogaster (fruit fly)
261	Dmel_CG10221	NP_001262882	K14026	dme04141	Protein processing in endoplasmic reticulum - Drosophila melanogaster (fruit fly)
262	Dmel_CG10222	NP_001287060	K24104		
263	Dmel_CG10223	NP_001260580	K03164		
264	Dmel_CG10225	NP_001262881	K15304		
265	Dmel_CG10226	NP_001261473	K05658	dme02010	ABC transporters - Drosophila melanogaster (fruit fly)
266	Dmel_CG10228	NP_001163153	K14400	dme03015	mRNA surveillance pathway - Drosophila melanogaster (fruit fly)
267	Dmel_CG10229	NP_001262276	K07767		
268	Dmel_CG10230	NP_651177	K03039	dme03050	Proteasome - Drosophila melanogaster (fruit fly)
269	Dmel_CG10232	NP_651175			
270	Dmel_CG10233	NP_649520	K25701		
271	Dmel_CG10234	NP_477339	K02513	dme00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Drosophila melanogaster (fruit fly)
272	Dmel_CG10236	NP_476617	K06240	dme04510	Focal adhesion - Drosophila melanogaster (fruit fly)
273	Dmel_CG10236	NP_476617	K06240	dme04512	ECM-receptor interaction - Drosophila melanogaster (fruit fly)
274	Dmel_CG10237	NP_001246091			
275	Dmel_CG10238	NP_651340	K03635	dme00790	Folate biosynthesis - Drosophila melanogaster (fruit fly)
276	Dmel_CG10238	NP_651340	K03635	dme01100	
277	Dmel_CG10238	NP_651340	K03635	dme01240	Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)
278	Dmel_CG10238	NP_651340	K03635	dme04122	Sulfur relay system - Drosophila melanogaster (fruit fly)
279	Dmel_CG1024	NP_001138014			
280	Dmel_CG10240	NP_001286431	K14999		
281	Dmel_CG10241	NP_001286433	K14999		
282	Dmel_CG10242	NP_611000	K14999		
283	Dmel_CG10243	NP_611001	K14999		
284	Dmel_CG10244	NP_651349	K04362	dme04520	Adherens junction - Drosophila melanogaster (fruit fly)
285	Dmel_CG10244	NP_651349	K04362	dme04810	Regulation of actin cytoskeleton - Drosophila melanogaster (fruit fly)
286	Dmel_CG10245	NP_611002	K14999		
287	Dmel_CG10246	NP_523748	K14999		
288	Dmel_CG10247	NP_611003	K14999		
289	Dmel_CG10248	NP_523749	K14999		
290	Dmel_CG10249	NP_001097318	K22808		
291	Dmel_CG10250	NP_476650	K18484		
292	Dmel_CG10251	NP_001097887	K08155		
293	Dmel_CG10252	NP_651171			
294	Dmel_CG10253	NP_001188935	K00803	dme00565	Ether lipid metabolism - Drosophila melanogaster (fruit fly)
295	Dmel_CG10253	NP_001188935	K00803	dme01100	
296	Dmel_CG10253	NP_001188935	K00803	dme04146	Peroxisome - Drosophila melanogaster (fruit fly)
297	Dmel_CG10254	NP_001262878	K10581	dme04120	Ubiquitin mediated proteolysis - Drosophila melanogaster (fruit fly)
298	Dmel_CG10255	NP_001188938			
299	Dmel_CG10257	NP_611008			
300	Dmel_CG10260	NP_001259191	K00888	dme00562	Inositol phosphate metabolism - Drosophila melanogaster (fruit fly)
301	Dmel_CG10260	NP_001259191	K00888	dme01100	
302	Dmel_CG10260	NP_001259191	K00888	dme04070	Phosphatidylinositol signaling system - Drosophila melanogaster (fruit fly)
303	Dmel_CG10262	NP_609994	K04802	dme03030	DNA replication - Drosophila melanogaster (fruit fly)
304	Dmel_CG10262	NP_609994	K04802	dme03410	Base excision repair - Drosophila melanogaster (fruit fly)
305	Dmel_CG10262	NP_609994	K04802	dme03420	Nucleotide excision repair - Drosophila melanogaster (fruit fly)
306	Dmel_CG10262	NP_609994	K04802	dme03430	Mismatch repair - Drosophila melanogaster (fruit fly)
307	Dmel_CG10262	NP_609994	K04802	dme04110	Cell cycle - Drosophila melanogaster (fruit fly)
308	Dmel_CG10262	NP_609994	K04802	dme04530	Tight junction - Drosophila melanogaster (fruit fly)
309	Dmel_CG10263	NP_001260593	K15685		
310	Dmel_CG10264	NP_650518			
311	Dmel_CG10265	NP_611012			
312	Dmel_CG10267	NP_001189188			
313	Dmel_CG10268	NP_609992	K13273	dme00900	Terpenoid backbone biosynthesis - Drosophila melanogaster (fruit fly)
314	Dmel_CG10268	NP_609992	K13273	dme01100	
315	Dmel_CG10268	NP_609992	K13273	dme04146	Peroxisome - Drosophila melanogaster (fruit fly)
316	Dmel_CG10269	NP_477304			
317	Dmel_CG10270	NP_477297			
318	Dmel_CG10274	NP_001097525			
319	Dmel_CG10275	NP_001260539	K08115		
320	Dmel_CG10277	NP_001097695	K15692		
321	Dmel_CG10278	NP_001189231			
322	Dmel_CG10279	NP_524243	K12823	dme03040	Spliceosome - Drosophila melanogaster (fruit fly)
323	Dmel_CG1028	NP_996167	K09307		
324	Dmel_CG10280	NP_001246942			
325	Dmel_CG10281	NP_524246	K03138	dme03022	Basal transcription factors - Drosophila melanogaster (fruit fly)
326	Dmel_CG10283	NP_001163006	K25949		
327	Dmel_CG10286	NP_649649	K24812		
328	Dmel_CG10287	NP_001097694			
329	Dmel_CG10289	NP_001261468	K15501		
330	Dmel_CG10293	NP_001163683	K14945		
331	Dmel_CG10295	NP_001262309	K04409	dme04392	Hippo signaling pathway - multiple species - Drosophila melanogaster (fruit fly)
332	Dmel_CG10295	NP_001262309	K04409	dme04510	Focal adhesion - Drosophila melanogaster (fruit fly)
333	Dmel_CG10295	NP_001262309	K04409	dme04625	C-type lectin receptor signaling pathway - Drosophila melanogaster (fruit fly)
334	Dmel_CG10295	NP_001262309	K04409	dme04810	Regulation of actin cytoskeleton - Drosophila melanogaster (fruit fly)
335	Dmel_CG10296	NP_649647	K08709		
336	Dmel_CG10297	NP_477282			
337	Dmel_CG10298	NP_649643	K06910		
338	Dmel_CG1030	NP_524248	K09305		
339	Dmel_CG10300	NP_651174			
340	Dmel_CG10301	NP_651173			
341	Dmel_CG10302	NP_523596	K17964		
342	Dmel_CG10303	NP_001262305			
343	Dmel_CG10305	NP_001260537	K02976	dme03010	Ribosome - Drosophila melanogaster (fruit fly)
344	Dmel_CG10306	NP_611604	K15028		
345	Dmel_CG10307	NP_001286690			
346	Dmel_CG10308	NP_523903			
347	Dmel_CG10309	NP_650534			
348	Dmel_CG1031	NP_524269			
349	Dmel_CG10311	NP_001287364			
350	Dmel_CG10315	NP_001163265	K03680	dme05168	Herpes simplex virus 1 infection - Drosophila melanogaster (fruit fly)
351	Dmel_CG10317	NP_001138059			
352	Dmel_CG10318	NP_611601	K21752		
353	Dmel_CG10320	NP_001097399	K03959	dme00190	Oxidative phosphorylation - Drosophila melanogaster (fruit fly)
354	Dmel_CG10320	NP_001097399	K03959	dme01100	
