tca	ncbi	ko	pathway	pathname
100141587	XP_008201062	K01312	map05164	Influenza A
100141588	XP_001814375			
100141592	XP_008197690	K27237	map04711	Circadian rhythm - fly
100141596	XP_001811535	K00731	map00512	Mucin type O-glycan biosynthesis
100141596	XP_001811535	K00731	map00514	Other types of O-glycan biosynthesis
100141596	XP_001811535	K00731	map01100	
100141597	XP_008191982			
100141598	XP_001808239			
100141599	XP_001812376			
100141600	XP_001812453			
100141601	XP_001814818			
100141602	XP_001812872	K16600		
100141603	XP_015835644	K08471		
100141604	XP_001814386			
100141605	XP_001816493			
100141606	XP_001807073			
100141608	XP_015834668			
100141609	XP_001807981			
100141611	XP_001808961			
100141613	XP_001808377			
100141614	XP_001810176	K23543		
100141615	XP_008190595			
100141616	XP_008191226	K16468		
100141618	XP_001812998			
100141619	XP_015836047	K08131	map04151	PI3K-Akt signaling pathway
100141619	XP_015836047	K08131	map04510	Focal adhesion
100141619	XP_015836047	K08131	map04512	ECM-receptor interaction
100141619	XP_015836047	K08131	map04820	Cytoskeleton in muscle cells
100141619	XP_015836047	K08131	map04974	Protein digestion and absorption
100141619	XP_015836047	K08131	map05165	Human papillomavirus infection
100141621	XP_008191433			
100141622	XP_001811836			
100141623	XP_001812083			
100141625	XP_008199840	K23491	map04310	Wnt signaling pathway
100141626	XP_008193990	K22073		
100141628	XP_008197058			
100141629	XP_001814678	K23344		
100141633	XP_001815717			
100141635	XP_008195245	K08471		
100141638	XP_001812873	K23792		
100141640	XP_001808010	K00856	map00230	Purine metabolism
100141640	XP_001808010	K00856	map01100	
100141640	XP_001808010	K00856	map01232	Nucleotide metabolism
100141641	XP_001810160	K01326		
100141642	XP_008194137	K23488	map04361	Axon regeneration
100141643	XP_008194097			
100141645	XP_001812500			
100141646	NP_001164146			
100141647	XP_001815393	K12366	map04062	Chemokine signaling pathway
100141647	XP_001815393	K12366	map04148	Efferocytosis
100141647	XP_001815393	K12366	map05100	Bacterial invasion of epithelial cells
100141647	XP_001815393	K12366	map05131	Shigellosis
100141647	XP_001815393	K12366	map05132	Salmonella infection
100141647	XP_001815393	K12366	map05135	Yersinia infection
100141648	XP_015840575			
100141649	XP_008194497	K15102		
100141651	XP_001812914	K08471		
100141652	XP_001814127	K17492		
100141654	XP_008197678	K12460	map04722	Neurotrophin signaling pathway
100141656	XP_008198996			
100141657	XP_001808512			
100141658	XP_001814494			
100141660	XP_001812473	K07952		
100141662	XP_001813556	K04661	map04350	TGF-beta signaling pathway
100141664	XP_015836269	K19410		
100141668	XP_001814509			
100141670	XP_015834682			
100141671	XP_008199648	K12379	map04013	MAPK signaling pathway - fly
100141674	XP_001814264			
100141675	XP_015834786	K08471		
100141676	XP_001815618			
100141678	XP_001808926			
100141679	XP_008195294	K17914	map04814	Motor proteins
100141680	XP_001809442			
100141681	XP_001807608			
100141682	XP_001813154			
100141683	XP_001809239			
100141684	XP_001813192			
100141686	XP_008192822	K27754		
100141687	NP_001161251			
100141688	XP_008201547	K02374	map04210	Apoptosis
100141689	XP_001814259	K18410		
100141690	XP_008199621			
100141691	XP_001810921	K10306		
100141693	XP_001815376			
100141695	XP_008200077			
100141696	XP_008198278			
100141698	NP_001161779			
100141699	XP_001816173			
100141703	XP_008195082	K08471		
100141704	XP_001813100			
100141705	XP_001809514			
100141706	XP_001807705	K08731	map01524	Platinum drug resistance
100141706	XP_001807705	K08731	map04210	Apoptosis
100141706	XP_001807705	K08731	map04215	Apoptosis - multiple species
100141706	XP_001807705	K08731	map04390	Hippo signaling pathway
100141706	XP_001807705	K08731	map05161	Hepatitis B
100141706	XP_001807705	K08731	map05200	Pathways in cancer
100141706	XP_001807705	K08731	map05207	Chemical carcinogenesis - receptor activation
100141706	XP_001807705	K08731	map05210	Colorectal cancer
100141707	XP_001811667			
100141709	XP_001811673			
100141710	XP_008199223	K19352		
100141711	XP_015838988			
100141713	XP_015835994	K01953	map00250	Alanine, aspartate and glutamate metabolism
100141713	XP_015835994	K01953	map01100	
100141713	XP_015835994	K01953	map01110	Biosynthesis of secondary metabolites
100141713	XP_015835994	K01953	map01230	Biosynthesis of amino acids
100141714	XP_015835694			
100141715	XP_001812612	K20221	map03013	Nucleocytoplasmic transport
100141718	XP_001815977			
100141719	XP_008198950	K01414		
100141720	XP_001814944			
100141721	XP_001814215	K17973		
100141722	XP_015838738	K22791		
100141723	XP_001810520	K27277		
100141724	XP_001807996			
100141725	XP_001808711	K25439		
100141726	NP_001161227			
100141727	XP_015834862			
100141731	XP_001815752	K02892	map03010	Ribosome
100141732	XP_008190687			
100141734	XP_008191668	K14302	map03013	Nucleocytoplasmic transport
100141734	XP_008191668	K14302	map05014	Amyotrophic lateral sclerosis
100141736	XP_015839667	K10891	map03460	Fanconi anemia pathway
100141737	XP_001807209	K10398	map04814	Motor proteins
100141738	XP_008194285			
100141739	XP_001814021			
100141741	XP_001816090			
100141742	XP_008193458	K00558	map00270	Cysteine and methionine metabolism
100141742	XP_008193458	K00558	map01100	
100141742	XP_008193458	K00558	map05206	MicroRNAs in cancer
100141743	XP_008190278	K10728	map03440	Homologous recombination
100141744	XP_001815774	K13133		
100141745	XP_008193680	K09228	map05168	Herpes simplex virus 1 infection
100141747	XP_001810290			
100141749	XP_008200457			
100141752	XP_015833653			
100141753	XP_015835317			
100141754	XP_001814285	K22534		
100141755	XP_001808071			
100141756	XP_001808976			
100141757	XP_001811450			
100141759	XP_001812978			
100141760	XP_008197110	K23112		
100141763	XP_015835866	K06254	map04512	ECM-receptor interaction
100141763	XP_015835866	K06254	map04820	Cytoskeleton in muscle cells
100141764	XP_001807041			
100141765	XP_015834036	K14388		
100141766	XP_001810808			
100141768	XP_001813804			
100141769	NP_001164095	K12823	map03040	Spliceosome
100141769	NP_001164095	K12823	map05202	Transcriptional misregulation in cancer
100141769	NP_001164095	K12823	map05205	Proteoglycans in cancer
100141771	XP_001812942			
100141772	XP_015836790	K24341		
100141773	XP_008198283	K05948	map00514	Other types of O-glycan biosynthesis
100141773	XP_008198283	K05948	map04330	Notch signaling pathway
100141773	XP_008198283	K05948	map05165	Human papillomavirus infection
100141776	XP_008198748	K23560	map05206	MicroRNAs in cancer
100141778	XP_001810939			
100141780	XP_008194161	K14950		
100141781	XP_001811897	K18666		
100141786	NP_001135924			
100141787	XP_008192686			
100141788	XP_001813974	K06269	map03015	mRNA surveillance pathway
100141788	XP_001813974	K06269	map04022	cGMP-PKG signaling pathway
100141788	XP_001813974	K06269	map04024	cAMP signaling pathway
100141788	XP_001813974	K06269	map04113	Meiosis - yeast
100141788	XP_001813974	K06269	map04114	Oocyte meiosis
100141788	XP_001813974	K06269	map04218	Cellular senescence
100141788	XP_001813974	K06269	map04261	Adrenergic signaling in cardiomyocytes
100141788	XP_001813974	K06269	map04270	Vascular smooth muscle contraction
100141788	XP_001813974	K06269	map04390	Hippo signaling pathway
100141788	XP_001813974	K06269	map04510	Focal adhesion
100141788	XP_001813974	K06269	map04611	Platelet activation
100141788	XP_001813974	K06269	map04720	Long-term potentiation
100141788	XP_001813974	K06269	map04728	Dopaminergic synapse
100141788	XP_001813974	K06269	map04750	Inflammatory mediator regulation of TRP channels
100141788	XP_001813974	K06269	map04810	Regulation of actin cytoskeleton
100141788	XP_001813974	K06269	map04910	Insulin signaling pathway
100141788	XP_001813974	K06269	map04921	Oxytocin signaling pathway
100141788	XP_001813974	K06269	map04931	Insulin resistance
100141788	XP_001813974	K06269	map05031	Amphetamine addiction
100141788	XP_001813974	K06269	map05034	Alcoholism
100141788	XP_001813974	K06269	map05168	Herpes simplex virus 1 infection
100141788	XP_001813974	K06269	map05205	Proteoglycans in cancer
100141788	XP_001813974	K06269	map05415	Diabetic cardiomyopathy
100141789	XP_001814003	K01312	map04080	Neuroactive ligand-receptor interaction
100141789	XP_001814003	K01312	map04972	Pancreatic secretion
100141789	XP_001814003	K01312	map04974	Protein digestion and absorption
100141789	XP_001814003	K01312	map05164	Influenza A
100141790	XP_008197662	K11728	map03082	ATP-dependent chromatin remodeling
100141793	XP_001815875			
100141798	XP_001810505	K22984		
100141799	XP_001812198	K24029		
100141800	XP_001810604	K24021		
100141804	XP_008193148	K24205		
100141806	XP_001812931			
100141807	XP_015839651	K14388		
100141808	XP_001814302			
100141809	XP_001808987	K17784		
100141810	XP_008195754	K09175		
100141811	XP_001809587	K09228	map05168	Herpes simplex virus 1 infection
100141813	XP_008195883	K09646		
100141814	XP_001814361			
100141815	XP_008195856	K07023	map00230	Purine metabolism
100141815	XP_008195856	K07023	map00240	Pyrimidine metabolism
100141815	XP_008195856	K07023	map01100	
100141815	XP_008195856	K07023	map01232	Nucleotide metabolism
100141816	XP_015835635			
100141818	XP_001811319	K10758		
100141819	XP_008190857	K14800		
100141820	XP_001807922			
100141821	XP_015834335			
100141822	XP_015839268			
100141823	XP_001808665			
100141824	NP_001280493	K16691	map04013	MAPK signaling pathway - fly
100141824	NP_001280493	K16691	map04391	Hippo signaling pathway - fly
100141825	XP_001807299			
100141826	XP_008197467			
100141828	XP_008198805	K01092	map00521	Streptomycin biosynthesis
100141828	XP_008198805	K01092	map00562	Inositol phosphate metabolism
100141828	XP_008198805	K01092	map01100	
100141828	XP_008198805	K01092	map01110	Biosynthesis of secondary metabolites
100141828	XP_008198805	K01092	map04070	Phosphatidylinositol signaling system
100141833	XP_008193939			
100141834	XP_008201543			
100141835	XP_015840442			
100141837	XP_008194030			
100141841	XP_001809413	K17595	map04217	Necroptosis
100141842	XP_001807502	K09341	map05166	Human T-cell leukemia virus 1 infection
100141843	XP_008191342			
100141844	XP_001813141			
100141846	XP_001812086	K17553		
100141847	XP_001815648			
100141848	XP_001808466	K09008	map04714	Thermogenesis
100141850	XP_001812325	K14686	map01524	Platinum drug resistance
100141850	XP_001812325	K14686	map04978	Mineral absorption
100141851	XP_008191903			
100141852	XP_001812825	K17988	map05131	Shigellosis
100141853	XP_008194123			
100141856	XP_001812398			
100141857	XP_001812133			
100141859	XP_001815375	K09228	map05168	Herpes simplex virus 1 infection
100141861	XP_001811685			
100141863	XP_008201220	K14315	map03013	Nucleocytoplasmic transport
100141863	XP_008201220	K14315	map05014	Amyotrophic lateral sclerosis
100141864	XP_008192483	K09330		
100141865	XP_008198617			
100141866	XP_008192114	K27896		
100141867	XP_008195463	K00591	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
100141867	XP_008195463	K00591	map01100	
100141867	XP_008195463	K00591	map01110	Biosynthesis of secondary metabolites
100141867	XP_008195463	K00591	map01240	Biosynthesis of cofactors
100141868	XP_001812431			
100141869	XP_001812549	K13356	map00073	Cutin, suberine and wax biosynthesis
100141869	XP_001812549	K13356	map01110	Biosynthesis of secondary metabolites
100141869	XP_001812549	K13356	map04146	Peroxisome
100141869	XP_001812549	K13356	map04212	Longevity regulating pathway - worm
100141870	XP_001813892			
100141871	XP_001809287	K14318	map03013	Nucleocytoplasmic transport
100141871	XP_001809287	K14318	map05014	Amyotrophic lateral sclerosis
100141872	XP_001809395	K18404		
100141873	XP_008198929			
100141874	XP_001807669			
100141875	XP_001809825			
100141877	XP_008193504			
100141878	XP_001807903			
100141879	XP_008191228			
100141880	XP_008201691			
100141881	XP_008197170			
100141882	XP_001815479			
100141883	XP_001814936	K23664	map04340	Hedgehog signaling pathway
100141884	XP_001813024			
100141885	XP_008199092	K18625		
100141886	XP_001811696	K25805		
100141888	XP_015833081	K02649	map01521	EGFR tyrosine kinase inhibitor resistance
100141888	XP_015833081	K02649	map01522	Endocrine resistance
100141888	XP_015833081	K02649	map01524	Platinum drug resistance
100141888	XP_015833081	K02649	map04012	ErbB signaling pathway
100141888	XP_015833081	K02649	map04014	Ras signaling pathway
100141888	XP_015833081	K02649	map04015	Rap1 signaling pathway
100141888	XP_015833081	K02649	map04024	cAMP signaling pathway
100141888	XP_015833081	K02649	map04062	Chemokine signaling pathway
100141888	XP_015833081	K02649	map04066	HIF-1 signaling pathway
100141888	XP_015833081	K02649	map04068	FoxO signaling pathway
100141888	XP_015833081	K02649	map04070	Phosphatidylinositol signaling system
100141888	XP_015833081	K02649	map04071	Sphingolipid signaling pathway
100141888	XP_015833081	K02649	map04072	Phospholipase D signaling pathway
100141888	XP_015833081	K02649	map04140	Autophagy - animal
100141888	XP_015833081	K02649	map04150	mTOR signaling pathway
100141888	XP_015833081	K02649	map04151	PI3K-Akt signaling pathway
100141888	XP_015833081	K02649	map04152	AMPK signaling pathway
100141888	XP_015833081	K02649	map04210	Apoptosis
100141888	XP_015833081	K02649	map04211	Longevity regulating pathway
100141888	XP_015833081	K02649	map04213	Longevity regulating pathway - multiple species
100141888	XP_015833081	K02649	map04218	Cellular senescence
100141888	XP_015833081	K02649	map04360	Axon guidance
100141888	XP_015833081	K02649	map04370	VEGF signaling pathway
100141888	XP_015833081	K02649	map04380	Osteoclast differentiation
100141888	XP_015833081	K02649	map04510	Focal adhesion
100141888	XP_015833081	K02649	map04550	Signaling pathways regulating pluripotency of stem cells
100141888	XP_015833081	K02649	map04611	Platelet activation
100141888	XP_015833081	K02649	map04613	Neutrophil extracellular trap formation
100141888	XP_015833081	K02649	map04620	Toll-like receptor signaling pathway
100141888	XP_015833081	K02649	map04625	C-type lectin receptor signaling pathway
100141888	XP_015833081	K02649	map04630	JAK-STAT signaling pathway
100141888	XP_015833081	K02649	map04650	Natural killer cell mediated cytotoxicity
100141888	XP_015833081	K02649	map04660	T cell receptor signaling pathway
100141888	XP_015833081	K02649	map04662	B cell receptor signaling pathway
100141888	XP_015833081	K02649	map04664	Fc epsilon RI signaling pathway
100141888	XP_015833081	K02649	map04666	Fc gamma R-mediated phagocytosis
100141888	XP_015833081	K02649	map04668	TNF signaling pathway
100141888	XP_015833081	K02649	map04670	Leukocyte transendothelial migration
100141888	XP_015833081	K02649	map04722	Neurotrophin signaling pathway
100141888	XP_015833081	K02649	map04725	Cholinergic synapse
100141888	XP_015833081	K02649	map04750	Inflammatory mediator regulation of TRP channels
100141888	XP_015833081	K02649	map04810	Regulation of actin cytoskeleton
100141888	XP_015833081	K02649	map04910	Insulin signaling pathway
100141888	XP_015833081	K02649	map04914	Progesterone-mediated oocyte maturation
100141888	XP_015833081	K02649	map04915	Estrogen signaling pathway
100141888	XP_015833081	K02649	map04917	Prolactin signaling pathway
100141888	XP_015833081	K02649	map04919	Thyroid hormone signaling pathway
100141888	XP_015833081	K02649	map04923	Regulation of lipolysis in adipocytes
100141888	XP_015833081	K02649	map04926	Relaxin signaling pathway
100141888	XP_015833081	K02649	map04929	GnRH secretion
100141888	XP_015833081	K02649	map04930	Type II diabetes mellitus
100141888	XP_015833081	K02649	map04931	Insulin resistance
100141888	XP_015833081	K02649	map04932	Non-alcoholic fatty liver disease
100141888	XP_015833081	K02649	map04933	AGE-RAGE signaling pathway in diabetic complications
100141888	XP_015833081	K02649	map04935	Growth hormone synthesis, secretion and action
100141888	XP_015833081	K02649	map04960	Aldosterone-regulated sodium reabsorption
100141888	XP_015833081	K02649	map04973	Carbohydrate digestion and absorption
100141888	XP_015833081	K02649	map05010	Alzheimer disease
100141888	XP_015833081	K02649	map05017	Spinocerebellar ataxia
100141888	XP_015833081	K02649	map05020	Prion disease
100141888	XP_015833081	K02649	map05100	Bacterial invasion of epithelial cells
100141888	XP_015833081	K02649	map05131	Shigellosis
100141888	XP_015833081	K02649	map05135	Yersinia infection
100141888	XP_015833081	K02649	map05142	Chagas disease
100141888	XP_015833081	K02649	map05146	Amoebiasis
100141888	XP_015833081	K02649	map05160	Hepatitis C
100141888	XP_015833081	K02649	map05161	Hepatitis B
100141888	XP_015833081	K02649	map05162	Measles
100141888	XP_015833081	K02649	map05163	Human cytomegalovirus infection
100141888	XP_015833081	K02649	map05164	Influenza A
100141888	XP_015833081	K02649	map05165	Human papillomavirus infection
100141888	XP_015833081	K02649	map05166	Human T-cell leukemia virus 1 infection
100141888	XP_015833081	K02649	map05167	Kaposi sarcoma-associated herpesvirus infection
100141888	XP_015833081	K02649	map05168	Herpes simplex virus 1 infection
100141888	XP_015833081	K02649	map05169	Epstein-Barr virus infection
100141888	XP_015833081	K02649	map05170	Human immunodeficiency virus 1 infection
100141888	XP_015833081	K02649	map05171	Coronavirus disease - COVID-19
100141888	XP_015833081	K02649	map05200	Pathways in cancer
100141888	XP_015833081	K02649	map05203	Viral carcinogenesis
100141888	XP_015833081	K02649	map05205	Proteoglycans in cancer
100141888	XP_015833081	K02649	map05206	MicroRNAs in cancer
100141888	XP_015833081	K02649	map05207	Chemical carcinogenesis - receptor activation
100141888	XP_015833081	K02649	map05208	Chemical carcinogenesis - reactive oxygen species
100141888	XP_015833081	K02649	map05210	Colorectal cancer
100141888	XP_015833081	K02649	map05211	Renal cell carcinoma
100141888	XP_015833081	K02649	map05212	Pancreatic cancer
100141888	XP_015833081	K02649	map05213	Endometrial cancer
100141888	XP_015833081	K02649	map05214	Glioma
100141888	XP_015833081	K02649	map05215	Prostate cancer
100141888	XP_015833081	K02649	map05218	Melanoma
100141888	XP_015833081	K02649	map05220	Chronic myeloid leukemia
100141888	XP_015833081	K02649	map05221	Acute myeloid leukemia
100141888	XP_015833081	K02649	map05222	Small cell lung cancer
100141888	XP_015833081	K02649	map05223	Non-small cell lung cancer
100141888	XP_015833081	K02649	map05224	Breast cancer
100141888	XP_015833081	K02649	map05225	Hepatocellular carcinoma
100141888	XP_015833081	K02649	map05226	Gastric cancer
100141888	XP_015833081	K02649	map05230	Central carbon metabolism in cancer
100141888	XP_015833081	K02649	map05231	Choline metabolism in cancer
100141888	XP_015833081	K02649	map05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
100141888	XP_015833081	K02649	map05415	Diabetic cardiomyopathy
100141888	XP_015833081	K02649	map05417	Lipid and atherosclerosis
100141888	XP_015833081	K02649	map05418	Fluid shear stress and atherosclerosis
100141891	XP_001815398			
100141893	XP_015834334			
100141894	XP_008190954			
100141895	XP_001811750	K18740		
100141896	XP_001809545	K22037		
100141898	XP_001814629			
100141899	XP_008195035			
100141902	XP_001815228			
100141905	XP_001811234	K20790		
100141906	XP_001810780			
100141907	XP_001814270	K11376		
100141909	XP_008199507	K06825	map04350	TGF-beta signaling pathway
100141909	XP_008199507	K06825	map04820	Cytoskeleton in muscle cells
100141910	XP_001811691			
100141914	XP_015834341	K22984		
100141915	XP_015833664			
100141916	XP_001810854	K07922		
100141918	XP_001812850			
100141919	XP_015833097	K13293	map00230	Purine metabolism
100141919	XP_015833097	K13293	map01100	
100141919	XP_015833097	K13293	map04024	cAMP signaling pathway
100141919	XP_015833097	K13293	map04928	Parathyroid hormone synthesis, secretion and action
100141919	XP_015833097	K13293	map05032	Morphine addiction
100141920	XP_008195510			
100141921	XP_008200306			
100141922	XP_001810341	K19737		
100141923	XP_015836791			
100141926	XP_001809056	K10091		
100141927	XP_008195081	K08471		
100141928	XP_015835671			
100141930	XP_001807287	K23863		
100141931	XP_015835643	K09228	map05168	Herpes simplex virus 1 infection
100141932	XP_001810795	K13248	map00750	Vitamin B6 metabolism
100141932	XP_001810795	K13248	map01100	
100141932	XP_001810795	K13248	map01240	Biosynthesis of cofactors
100141933	XP_001812566	K01768	map00230	Purine metabolism
100141933	XP_001812566	K01768	map01100	
100141933	XP_001812566	K01768	map02025	Biofilm formation - Pseudomonas aeruginosa
100141933	XP_001812566	K01768	map04113	Meiosis - yeast
100141933	XP_001812566	K01768	map04213	Longevity regulating pathway - multiple species
100141934	XP_001811932			
100141935	XP_008198006			
100141936	XP_008197698			
100141937	XP_001814185	K01942	map00780	Biotin metabolism
100141937	XP_001814185	K01942	map01100	
100141939	XP_008192506	K24931		
100141940	XP_001811917	K17675		
100141941	XP_015837481	K14726		
100141942	XP_008201074			
100141944	XP_001814592	K24927		
100141947	XP_001809637			
100141948	XP_001809806	K01904	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
100141948	XP_001809806	K01904	map00940	Phenylpropanoid biosynthesis
100141948	XP_001809806	K01904	map01100	
100141948	XP_001809806	K01904	map01110	Biosynthesis of secondary metabolites
100141949	XP_001813387	K19332		
